"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Alternaria symptoms estimating 1-9|CO_331:0000198","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2011SER-PT01","","","","","","","","","UGP2011SER-PT01-00001","","","","45","1","3","1","4","28","107","56","9","0.5","34","4","1","2","0","56.5","90.5","116","0.523364486","0.055555556","0.487068966","4.142857143","2.577777778","3.821428571","2.377777778","2.017857143","1.255555556","1.214285714","0.755555556","92.24137931","62.43093923","62.22222222","41.48148148","41.85185185","25.18518519","67.03703704","66.66666667","67.26190476","40.47619048","107.7380952"
"","","UGP2011SER-PT01","","","","","","","","","UGP2011SER-PT01-00002","","","","45","2","3","1","5","26","28","9","20","1","44","9","1","2","1.65","10","54","48","0.321428571","0.05","0.208333333","1.846153846","1.066666667","1.076923077","0.622222222","0.384615385","0.222222222","1.692307692","0.977777778","58.33333333","18.51851852","57.77777778","6.666666667","7.407407407","32.59259259","40","11.53846154","12.82051282","56.41025641","69.23076923"
"","","UGP2011SER-PT01","","","","","","","","","UGP2011SER-PT01-00003","","","","45","2","5","1","6","36","48","21","15","1","3","4","1","2","0.15","22","25","63","0.4375","0.066666667","0.349206349","1.75","1.4","1.333333333","1.066666667","0.611111111","0.488888889","0.083333333","0.066666667","76.19047619","88","80","15.55555556","16.2962963","2.222222222","18.51851852","19.44444444","20.37037037","2.777777778","23.14814815"
"","","UGP2011SER-PT01","","","","","","","","","UGP2011SER-PT01-00004","","","","45","1","3","2","4","37","48","30","3","0.1","45","4","1","8","0.15","30.1","75.1","51","0.625","0.033333333","0.590196078","1.378378378","1.133333333","1.297297297","1.066666667","0.813513514","0.668888889","1.216216216","1","94.11764706","40.07989348","82.22222222","22.22222222","22.2962963","33.33333333","55.62962963","27.02702703","27.11711712","40.54054054","67.65765766"
"","","UGP2011SER-PT01","","","","","","","","","UGP2011SER-PT01-00005","","","","45","1","2","1","4","30","35","15","18","1","50","9","1","2","0","16","66","53","0.428571429","0.055555556","0.301886792","1.766666667","1.177777778","1.166666667","0.777777778","0.533333333","0.355555556","1.666666667","1.111111111","66.03773585","24.24242424","66.66666667","11.11111111","11.85185185","37.03703704","48.88888889","16.66666667","17.77777778","55.55555556","73.33333333"
"","","UGP2011SER-PT01","","","","","","","","","UGP2011SER-PT01-00006","","","","45","1","2","1","6","32","32","12","19","1","48","9","1","2","1.65","13","61","51","0.375","0.052631579","0.254901961","1.59375","1.133333333","1","0.711111111","0.40625","0.288888889","1.5","1.066666667","62.74509804","21.31147541","71.11111111","8.888888889","9.62962963","35.55555556","45.18518519","12.5","13.54166667","50","63.54166667"
"","","UGP2011SER-PT01","","","","","","","","","UGP2011SER-PT01-00007","","","","45","1","2","2","4","34","58","25","4","0.1","15","4","1","8","1.38","25.1","40.1","62","0.431034483","0.025","0.40483871","1.823529412","1.377777778","1.705882353","1.288888889","0.738235294","0.557777778","0.441176471","0.333333333","93.5483871","62.59351621","75.55555556","18.51851852","18.59259259","11.11111111","29.7037037","24.50980392","24.60784314","14.70588235","39.31372549"
"","","UGP2011SER-PT01","","","","","","","","","UGP2011SER-PT01-00008","","","","45","1","2","1","2","32","34","14","6","0.5","36","9","1","8","0","14.5","50.5","40","0.411764706","0.083333333","0.3625","1.25","0.888888889","1.0625","0.755555556","0.453125","0.322222222","1.125","0.8","85","28.71287129","71.11111111","10.37037037","10.74074074","26.66666667","37.40740741","14.58333333","15.10416667","37.5","52.60416667"
"","","UGP2011SER-PT01","","","","","","","","","UGP2011SER-PT01-00009","","","","45","1","2","1","4","31","16","2","30","1","19","9","1","2","0","3","22","46","0.125","0.033333333","0.065217391","1.483870968","1.022222222","0.516129032","0.355555556","0.096774194","0.066666667","0.612903226","0.422222222","34.7826087","13.63636364","68.88888889","1.481481481","2.222222222","14.07407407","16.2962963","2.150537634","3.225806452","20.43010753","23.65591398"
"","","UGP2011SER-PT01","","","","","","","","","UGP2011SER-PT01-00010","","","","45","2","2","1","6","22","61","30","22","1","38","4","1","2","1.65","31","69","83","0.491803279","0.045454545","0.373493976","3.772727273","1.844444444","2.772727273","1.355555556","1.409090909","0.688888889","1.727272727","0.844444444","73.4939759","44.92753623","48.88888889","22.22222222","22.96296296","28.14814815","51.11111111","45.45454545","46.96969697","57.57575758","104.5454545"
