"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00011","","","","30","25","2","6","7","2","2","25","56","11","9","0.2","7","3","2","3","4","3","7.76","9.2","16.2","67","0.160714286","0.018181818","0.137313433","2.68","2.233333333","2.24","1.866666667","0.368","0.306666667","0.28","0.233333333","83.58208955","56.79012346","83.33333333","10","10.22222222","7.777777778","18","12","12.26666667","9.333333333","21.6"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00014","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00015","","","","30","22","2","5","6","2","3","22","28","12","2.5","0.2","8","5","3","3","3","4","12.39","2.7","10.7","40","0.089285714","0.016666667","0.0675","1.818181818","1.333333333","1.272727273","0.933333333","0.122727273","0.09","0.363636364","0.266666667","70","25.23364486","73.33333333","2.777777778","3","8.888888889","11.88888889","3.787878788","4.090909091","12.12121212","16.21212121"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00016","","","","30","24","2","3","6","2","2","24","20","0","1.7","0","4","3","3","3","2","3","0","1.7","5.7","20","0.085","","0.085","0.833333333","0.666666667","0.833333333","0.666666667","0.070833333","0.056666667","0.166666667","0.133333333","100","29.8245614","80","1.888888889","1.888888889","4.444444444","6.333333333","2.361111111","2.361111111","5.555555556","7.916666667"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00017","","","","30","24","1","2","6","1","3","24","33","2","3.5","0.04","3","6","3","1","2","3","0.15","3.54","6.54","35","0.106060606","0.02","0.101142857","1.458333333","1.166666667","1.375","1.1","0.1475","0.118","0.125","0.1","94.28571429","54.12844037","80","3.888888889","3.933333333","3.333333333","7.266666667","4.861111111","4.916666667","4.166666667","9.083333333"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00019","","","","30","28","2","5","7","2","2","28","49","21","5","0.3","5","8","3","4","3","2","7.76","5.3","10.3","70","0.102040816","0.014285714","0.075714286","2.5","2.333333333","1.75","1.633333333","0.189285714","0.176666667","0.178571429","0.166666667","70","51.45631068","93.33333333","5.555555556","5.888888889","5.555555556","11.44444444","5.952380952","6.30952381","5.952380952","12.26190476"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00020","","","","30","26","3","4","6","3","3","26","28","6","3","0.2","4","5","3","3","3","3","7.76","3.2","7.2","34","0.107142857","0.033333333","0.094117647","1.307692308","1.133333333","1.076923077","0.933333333","0.123076923","0.106666667","0.153846154","0.133333333","82.35294118","44.44444444","86.66666667","3.333333333","3.555555556","4.444444444","8","3.846153846","4.102564103","5.128205128","9.230769231"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00021","","","","30","28","2","2","6","2","2","28","28","13","2","0.2","2.5","5","4","4","2","5","3.96","2.2","4.7","41","0.071428571","0.015384615","0.053658537","1.464285714","1.366666667","1","0.933333333","0.078571429","0.073333333","0.089285714","0.083333333","68.29268293","46.80851064","93.33333333","2.222222222","2.444444444","2.777777778","5.222222222","2.380952381","2.619047619","2.976190476","5.595238095"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00022","","","","30","17","3","3","5","2","3","13","0","0","0","0","1","","","","","","","0","1","0","","","","0","0","0","0","0","0","0.076923077","0.033333333","","0","43.33333333","0","0","1.111111111","1.111111111","0","0","2.564102564","2.564102564"
"","","UGP2017NAM-PT02","","","","","","","","","UGP2017NAM-PT02-00023","","","","30","25","2","3","6","2","2","25","11","10","0.6","0.15","1.2","4","2","1","4","6","3.03","0.75","1.95","21","0.054545455","0.015","0.035714286","0.84","0.7","0.44","0.366666667","0.03","0.025","0.048","0.04","52.38095238","38.46153846","83.33333333","0.666666667","0.833333333","1.333333333","2.166666667","0.8","1","1.6","2.6"
