"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00157","","","","10","10","2","2","2","3","2","10","10","9","2.3","0.15","3.4","4","7","5","1","8","3","2.45","5.85","19","0.23","0.016666667","0.128947368","1.9","1.9","1","1","0.245","0.245","0.34","0.34","52.63157895","41.88034188","100","7.666666667","8.166666667","11.33333333","19.5","7.666666667","8.166666667","11.33333333","19.5"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00179","","","","10","9","1","1","1","3","2","9","29","10","8.25","0.3","15.5","4","7","6","1","8","2","8.55","24.05","39","0.284482759","0.03","0.219230769","4.333333333","3.9","3.222222222","2.9","0.95","0.855","1.722222222","1.55","74.35897436","35.55093555","90","27.5","28.5","51.66666667","80.16666667","30.55555556","31.66666667","57.40740741","89.07407407"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00201","","","","10","9","3","3","1","3","2","9","12","2","1.8","0.1","2.9","4","7","3","1","8","2","1.9","4.8","14","0.15","0.05","0.135714286","1.555555556","1.4","1.333333333","1.2","0.211111111","0.19","0.322222222","0.29","85.71428571","39.58333333","90","6","6.333333333","9.666666667","16","6.666666667","7.037037037","10.74074074","17.77777778"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00223","","","","10","10","1","1","1","3","2","9","66","18","12.8","0.5","10.9","4","7","3","1","8","1","13.3","24.2","84","0.193939394","0.027777778","0.158333333","9.333333333","8.4","7.333333333","6.6","1.477777778","1.33","1.211111111","1.09","78.57142857","54.95867769","90","42.66666667","44.33333333","36.33333333","80.66666667","47.40740741","49.25925926","40.37037037","89.62962963"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00246","","","","10","10","2","2","2","3","3","10","19","3","3.4","0.07","6.95","4","6","3","8","8","2","3.47","10.42","22","0.178947368","0.023333333","0.157727273","2.2","2.2","1.9","1.9","0.347","0.347","0.695","0.695","86.36363636","33.30134357","100","11.33333333","11.56666667","23.16666667","34.73333333","11.33333333","11.56666667","23.16666667","34.73333333"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00268","","","","10","10","1","1","2","3","3","10","3","2","0.4","0.05","2.8","4","7","2","1","2","4","0.45","3.25","5","0.133333333","0.025","0.09","0.5","0.5","0.3","0.3","0.045","0.045","0.28","0.28","60","13.84615385","100","1.333333333","1.5","9.333333333","10.83333333","1.333333333","1.5","9.333333333","10.83333333"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00290","","","","10","10","1","2","1","3","3","10","20","4","5.25","0.15","8.85","4","7","3","1","8","3","5.4","14.25","24","0.2625","0.0375","0.225","2.4","2.4","2","2","0.54","0.54","0.885","0.885","83.33333333","37.89473684","100","17.5","18","29.5","47.5","17.5","18","29.5","47.5"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00312","","","","10","10","2","3","1","3","3","10","7","10","1.15","0.7","2.45","4","7","3","1","8","5","1.85","4.3","17","0.164285714","0.07","0.108823529","1.7","1.7","0.7","0.7","0.185","0.185","0.245","0.245","41.17647059","43.02325581","100","3.833333333","6.166666667","8.166666667","14.33333333","3.833333333","6.166666667","8.166666667","14.33333333"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00313","","","","10","10","2","2","2","3","3","9","9","10","1.3","0.15","3.35","4","7","3","1","8","5","1.45","4.8","19","0.144444444","0.015","0.076315789","2.111111111","1.9","1","0.9","0.161111111","0.145","0.372222222","0.335","47.36842105","30.20833333","90","4.333333333","4.833333333","11.16666667","16","4.814814815","5.37037037","12.40740741","17.77777778"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00335","","","","10","8","1","1","1","4","2","8","29","6","6.45","0.2","12.5","4","7","3","1","8","2","6.65","19.15","35","0.222413793","0.033333333","0.19","4.375","3.5","3.625","2.9","0.83125","0.665","1.5625","1.25","82.85714286","34.72584856","80","21.5","22.16666667","41.66666667","63.83333333","26.875","27.70833333","52.08333333","79.79166667"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00357","","","","10","10","1","1","1","3","2","10","2","5","1.05","0.35","1.25","4","7","3","1","8","2","1.4","2.65","7","0.525","0.07","0.2","0.7","0.7","0.2","0.2","0.14","0.14","0.125","0.125","28.57142857","52.83018868","100","3.5","4.666666667","4.166666667","8.833333333","3.5","4.666666667","4.166666667","8.833333333"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00379","","","","10","10","1","1","1","3","3","10","18","3","5.85","0.06","9.1","4","6","4","3","8","2","5.91","15.01","21","0.325","0.02","0.281428571","2.1","2.1","1.8","1.8","0.591","0.591","0.91","0.91","85.71428571","39.37375083","100","19.5","19.7","30.33333333","50.03333333","19.5","19.7","30.33333333","50.03333333"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00402","","","","10","10","1","2","1","3","3","10","27","2","5.6","0.05","7.7","4","6","4","1","8","3","5.65","13.35","29","0.207407407","0.025","0.194827586","2.9","2.9","2.7","2.7","0.565","0.565","0.77","0.77","93.10344828","42.32209738","100","18.66666667","18.83333333","25.66666667","44.5","18.66666667","18.83333333","25.66666667","44.5"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00424","","","","10","10","1","1","1","4","3","10","3","1","0.95","0.01","19.5","2","6","2","1","3","7","0.96","20.46","4","0.316666667","0.01","0.24","0.4","0.4","0.3","0.3","0.096","0.096","1.95","1.95","75","4.692082111","100","3.166666667","3.2","65","68.2","3.166666667","3.2","65","68.2"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00446","","","","10","10","3","1","1","4","3","10","14","5","4.1","0.15","8.6","4","6","2","1","8","5","4.25","12.85","19","0.292857143","0.03","0.223684211","1.9","1.9","1.4","1.4","0.425","0.425","0.86","0.86","73.68421053","33.07392996","100","13.66666667","14.16666667","28.66666667","42.83333333","13.66666667","14.16666667","28.66666667","42.83333333"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00468","","","","10","10","3","3","1","4","3","10","5","8","0.75","0.02","1.05","4","7","2","1","8","5","0.77","1.82","13","0.15","0.0025","0.059230769","1.3","1.3","0.5","0.5","0.077","0.077","0.105","0.105","38.46153846","42.30769231","100","2.5","2.566666667","3.5","6.066666667","2.5","2.566666667","3.5","6.066666667"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00469","","","","10","9","4","3","1","5","3","9","2","3","0.8","0.15","1.1","4","7","4","1","8","5","0.95","2.05","5","0.4","0.05","0.19","0.555555556","0.5","0.222222222","0.2","0.105555556","0.095","0.122222222","0.11","40","46.34146341","90","2.666666667","3.166666667","3.666666667","6.833333333","2.962962963","3.518518519","4.074074074","7.592592593"
"","","UGP2018SER-OT02","","","","","","","","","UGP2018SER-OT02-00491","","","","10","9","2","1","1","3","2","8","4","0","1.05","0","6.45","4","7","1","1","8","3","1.05","7.5","4","0.2625","","0.2625","0.5","0.4","0.5","0.4","0.13125","0.105","0.80625","0.645","100","14","80","3.5","3.5","21.5","25","4.375","4.375","26.875","31.25"
