"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00001","","","","5","4","2","4","1","2","4","9","0","1.6","0","1.4","6","2","3","1.38","1.6","3","9","0.177777778","","0.177777778","2.25","1.8","2.25","1.8","0.4","0.32","0.35","0.28","100","53.33333333","80","10.66666667","10.66666667","9.333333333","20","13.33333333","13.33333333","11.66666667","25"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00002","","","","5","4","2","2","1","1","4","9","3","2","0.08","0.7","5","3","5","11.03","2.08","2.78","12","0.222222222","0.026666667","0.173333333","3","2.4","2.25","1.8","0.52","0.416","0.175","0.14","75","74.82014388","80","13.33333333","13.86666667","4.666666667","18.53333333","16.66666667","17.33333333","5.833333333","23.16666667"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00004","","","","5","4","2","3","1","2","4","16","7","6","0.2","1.6","6","4","4","0.15","6.2","7.8","23","0.375","0.028571429","0.269565217","5.75","4.6","4","3.2","1.55","1.24","0.4","0.32","69.56521739","79.48717949","80","40","41.33333333","10.66666667","52","50","51.66666667","13.33333333","65"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00005","","","","5","4","3","5","1","2","4","20","1","7.4","0.04","17","8","3","4","0","7.44","24.44","21","0.37","0.04","0.354285714","5.25","4.2","5","4","1.86","1.488","4.25","3.4","95.23809524","30.44189853","80","49.33333333","49.6","113.3333333","162.9333333","61.66666667","62","141.6666667","203.6666667"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00006","","","","5","1","1","6","1","6","1","7","0","1.4","0","1","1","3","4","0","1.4","2.4","7","0.2","","0.2","7","1.4","7","1.4","1.4","0.28","1","0.2","100","58.33333333","20","9.333333333","9.333333333","6.666666667","16","46.66666667","46.66666667","33.33333333","80"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00007","","","","5","4","2","6","1","2","4","16","1","5.6","0.01","2.6","1","3","5","0","5.61","8.21","17","0.35","0.01","0.33","4.25","3.4","4","3.2","1.4025","1.122","0.65","0.52","94.11764706","68.33130329","80","37.33333333","37.4","17.33333333","54.73333333","46.66666667","46.75","21.66666667","68.41666667"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00008","","","","5","4","2","5","1","4","4","23","4","3.4","0.05","1","6","5","3","5.46","3.45","4.45","27","0.147826087","0.0125","0.127777778","6.75","5.4","5.75","4.6","0.8625","0.69","0.25","0.2","85.18518519","77.52808989","80","22.66666667","23","6.666666667","29.66666667","28.33333333","28.75","8.333333333","37.08333333"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00009","","","","5","4","3","4","2","7","4","12","0","3","0","0.24","1","4","5","1.76","3","3.24","12","0.25","","0.25","3","2.4","3","2.4","0.75","0.6","0.06","0.048","100","92.59259259","80","20","20","1.6","21.6","25","25","2","27"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00010","","","","5","4","2","2","1","4","4","17","4","6.8","0.02","2.4","5","3","5","4.41","6.82","9.22","21","0.4","0.005","0.324761905","5.25","4.2","4.25","3.4","1.705","1.364","0.6","0.48","80.95238095","73.96963124","80","45.33333333","45.46666667","16","61.46666667","56.66666667","56.83333333","20","76.83333333"
"","","UGP2012NAM-PT01","","","","","","","","","UGP2012NAM-PT01-00011","","","","5","3","1","3","1","3","3","20","10","3.6","0.24","11","8","5","4","1.76","3.84","14.84","30","0.18","0.024","0.128","10","6","6.666666667","4","1.28","0.768","3.666666667","2.2","66.66666667","25.87601078","60","24","25.6","73.33333333","98.93333333","40","42.66666667","122.2222222","164.8888889"
