"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|CO_331:0000198","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root shape estimating 1-9 CIP|CO_331:0000181","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012ISI-FT01","","","","","","","","","UGP2012ISI-FT01-00001","","","","54","54","2","3","2","81","44.4","23","2.5","38","2","9","1","8","1.38","46.9","84.9","104","0.548148148","0.108695652","0.450961538","1.925925926","1.925925926","1.5","1.5","0.868518519","0.868518519","0.703703704","0.703703704","77.88461538","55.24146054","100","27.40740741","28.95061728","23.45679012","52.40740741","27.40740741","28.95061728","23.45679012","52.40740741"
"","","UGP2012ISI-FT01","","","","","","","","","UGP2012ISI-FT01-00002","","","","54","53","1","2","2","106","39","29","2.4","124","2","9","1","2","1.65","41.4","165.4","135","0.367924528","0.082758621","0.306666667","2.547169811","2.5","2","1.962962963","0.781132075","0.766666667","2.339622642","2.296296296","78.51851852","25.03022975","98.14814815","24.07407407","25.55555556","76.54320988","102.0987654","24.52830189","26.03773585","77.98742138","104.0251572"
"","","UGP2012ISI-FT01","","","","","","","","","UGP2012ISI-FT01-00003","","","","54","54","1","3","2","152","63","33","2.6","74","4","9","7","8","1.38","65.6","139.6","185","0.414473684","0.078787879","0.354594595","3.425925926","3.425925926","2.814814815","2.814814815","1.214814815","1.214814815","1.37037037","1.37037037","82.16216216","46.99140401","100","38.88888889","40.49382716","45.67901235","86.17283951","38.88888889","40.49382716","45.67901235","86.17283951"
"","","UGP2012ISI-FT01","","","","","","","","","UGP2012ISI-FT01-00004","","","","54","45","1","3","2","74","32.6","4","4.2","41","3","8","1","2","1.65","36.8","77.8","78","0.440540541","1.05","0.471794872","1.733333333","1.444444444","1.644444444","1.37037037","0.817777778","0.681481481","0.911111111","0.759259259","94.87179487","47.30077121","83.33333333","20.12345679","22.71604938","25.30864198","48.02469136","24.14814815","27.25925926","30.37037037","57.62962963"
"","","UGP2012ISI-FT01","","","","","","","","","UGP2012ISI-FT01-00005","","","","54","49","2","2","1","89","21.5","40","2.4","36","6","9","1","8","1.65","23.9","59.9","129","0.241573034","0.06","0.185271318","2.632653061","2.388888889","1.816326531","1.648148148","0.487755102","0.442592593","0.734693878","0.666666667","68.99224806","39.89983306","90.74074074","13.27160494","14.75308642","22.22222222","36.97530864","14.62585034","16.2585034","24.48979592","40.74829932"
"","","UGP2012ISI-FT01","","","","","","","","","UGP2012ISI-FT01-00006","","","","54","45","3","2","1","31","4","40","1.2","45","5","9","1","2","1.65","5.2","50.2","71","0.129032258","0.03","0.073239437","1.577777778","1.314814815","0.688888889","0.574074074","0.115555556","0.096296296","1","0.833333333","43.66197183","10.35856574","83.33333333","2.469135802","3.209876543","27.77777778","30.98765432","2.962962963","3.851851852","33.33333333","37.18518519"
"","","UGP2012ISI-FT01","","","","","","","","","UGP2012ISI-FT01-00007","","","","54","50","2","3","2","96","21.4","80","4","21","4","4","6","8","1.65","25.4","46.4","176","0.222916667","0.05","0.144318182","3.52","3.259259259","1.92","1.777777778","0.508","0.47037037","0.42","0.388888889","54.54545455","54.74137931","92.59259259","13.20987654","15.67901235","12.96296296","28.64197531","14.26666667","16.93333333","14","30.93333333"
"","","UGP2012ISI-FT01","","","","","","","","","UGP2012ISI-FT01-00008","","","","54","33","4","3","1","2","0.4","6","0.2","4","8","9","1","2","1.65","0.6","4.6","8","0.2","0.033333333","0.075","0.242424242","0.148148148","0.060606061","0.037037037","0.018181818","0.011111111","0.121212121","0.074074074","25","13.04347826","61.11111111","0.24691358","0.37037037","2.469135802","2.839506173","0.404040404","0.606060606","4.04040404","4.646464646"
"","","UGP2012ISI-FT01","","","","","","","","","UGP2012ISI-FT01-00009","","","","54","40","4","2","1","8","1","50","2","2.5","6","9","1","8","1.65","3","5.5","58","0.125","0.04","0.051724138","1.45","1.074074074","0.2","0.148148148","0.075","0.055555556","0.0625","0.046296296","13.79310345","54.54545455","74.07407407","0.617283951","1.851851852","1.543209877","3.395061728","0.833333333","2.5","2.083333333","4.583333333"
"","","UGP2012ISI-FT01","","","","","","","","","UGP2012ISI-FT01-00010","","","","54","43","3","2","1","11","1.6","42","2.3","6.8","7","9","1","2","1.65","3.9","10.7","53","0.145454545","0.054761905","0.073584906","1.23255814","0.981481481","0.255813953","0.203703704","0.090697674","0.072222222","0.158139535","0.125925926","20.75471698","36.44859813","79.62962963","0.987654321","2.407407407","4.197530864","6.604938272","1.240310078","3.023255814","5.271317829","8.294573643"
