"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-02326","","","","10","10","4","2","3","2","2","10","7","14","0.48","0.14","0.5","4","6","1","2","6","1","0.62","1.12","21","0.068571429","0.01","0.02952381","2.1","2.1","0.7","0.7","0.062","0.062","0.05","0.05","33.33333333","55.35714286","100","1.6","2.066666667","1.666666667","3.733333333","1.6","2.066666667","1.666666667","3.733333333"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-00368","","","","10","10","6","1","3","2","3","8","0","11","0","0.24","1.45","2","2","1","8","8","1","0.24","1.69","11","","0.021818182","0.021818182","1.375","1.1","0","0","0.03","0.024","0.18125","0.145","0","14.20118343","80","0","0.8","4.833333333","5.633333333","0","1","6.041666667","7.041666667"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01000","","","","10","9","6","1","1","2","1","9","10","18","0.46","0.21","1.25","4","7","2","9","7","1","0.67","1.92","28","0.046","0.011666667","0.023928571","3.111111111","2.8","1.111111111","1","0.074444444","0.067","0.138888889","0.125","35.71428571","34.89583333","90","1.533333333","2.233333333","4.166666667","6.4","1.703703704","2.481481481","4.62962963","7.111111111"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01010","","","","10","9","6","2","2","2","2","9","1","2","0.09","0.05","1.35","4","6","1","9","8","4","0.14","1.49","3","0.09","0.025","0.046666667","0.333333333","0.3","0.111111111","0.1","0.015555556","0.014","0.15","0.135","33.33333333","9.395973154","90","0.3","0.466666667","4.5","4.966666667","0.333333333","0.518518519","5","5.518518519"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01020","","","","10","9","5","2","1","2","1","9","4","10","0.25","0.19","0.56","4","7","2","6","7","1","0.44","1","14","0.0625","0.019","0.031428571","1.555555556","1.4","0.444444444","0.4","0.048888889","0.044","0.062222222","0.056","28.57142857","44","90","0.833333333","1.466666667","1.866666667","3.333333333","0.925925926","1.62962963","2.074074074","3.703703704"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01030","","","","10","8","7","3","2","3","2","8","16","10","1.48","0.35","1.85","4","7","1","8","5","1","1.83","3.68","26","0.0925","0.035","0.070384615","3.25","2.6","2","1.6","0.22875","0.183","0.23125","0.185","61.53846154","49.72826087","80","4.933333333","6.1","6.166666667","12.26666667","6.166666667","7.625","7.708333333","15.33333333"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01040","","","","10","10","5","3","2","2","1","10","1","9","0.08","0.2","1.2","4","7","1","3","4","1","0.28","1.48","10","0.08","0.022222222","0.028","1","1","0.1","0.1","0.028","0.028","0.12","0.12","10","18.91891892","100","0.266666667","0.933333333","4","4.933333333","0.266666667","0.933333333","4","4.933333333"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01050","","","","10","8","7","2","1","2","1","8","24","30","3.35","1.34","3.55","4","7","1","8","5","1","4.69","8.24","54","0.139583333","0.044666667","0.086851852","6.75","5.4","3","2.4","0.58625","0.469","0.44375","0.355","44.44444444","56.91747573","80","11.16666667","15.63333333","11.83333333","27.46666667","13.95833333","19.54166667","14.79166667","34.33333333"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-00106","","","","10","8","4","3","4","2","2","8","4","1","0.15","0.02","0.095","4","6","1","3","4","1","0.17","0.265","5","0.0375","0.02","0.034","0.625","0.5","0.5","0.4","0.02125","0.017","0.011875","0.0095","80","64.1509434","80","0.5","0.566666667","0.316666667","0.883333333","0.625","0.708333333","0.395833333","1.104166667"
"","","UGP2018KAC-OT02","","","","","","","","","UGP2018KAC-OT02-01060","","","","10","6","4","2","2","2","1","6","16","4","1.2","0.4","0.45","4","7","2","6","6","1","1.6","2.05","20","0.075","0.1","0.08","3.333333333","2","2.666666667","1.6","0.266666667","0.16","0.075","0.045","80","78.04878049","60","4","5.333333333","1.5","6.833333333","6.666666667","8.888888889","2.5","11.38888889"
