"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00001","","","","30","30","2","3","7","5","6","30","22","23","2.5","0.6","1.4","4","3","3","5","4","1.65","3.1","4.5","45","0.113636364","0.026086957","0.068888889","1.5","1.5","0.733333333","0.733333333","0.103333333","0.103333333","0.046666667","0.046666667","48.88888889","68.88888889","100","2.777777778","3.444444444","1.555555556","5","2.777777778","3.444444444","1.555555556","5"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00002","","","","30","30","3","2","7","6","6","27","15","32","1.4","0.75","1.55","5","4","3","4","4","1.65","2.15","3.7","47","0.093333333","0.0234375","0.045744681","1.740740741","1.566666667","0.555555556","0.5","0.07962963","0.071666667","0.057407407","0.051666667","31.91489362","58.10810811","90","1.555555556","2.388888889","1.722222222","4.111111111","1.728395062","2.654320988","1.913580247","4.567901235"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00003","","","","30","30","1","2","8","6","4","29","42","35","6.9","2.1","6.9","3","3","7","3","1","0.12","9","15.9","77","0.164285714","0.06","0.116883117","2.655172414","2.566666667","1.448275862","1.4","0.310344828","0.3","0.237931034","0.23","54.54545455","56.60377358","96.66666667","7.666666667","10","7.666666667","17.66666667","7.931034483","10.34482759","7.931034483","18.27586207"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00004","","","","30","30","2","2","5","4","5","24","22","36","3.1","1.9","1.4","7","4","3","6","5","1.38","5","6.4","58","0.140909091","0.052777778","0.086206897","2.416666667","1.933333333","0.916666667","0.733333333","0.208333333","0.166666667","0.058333333","0.046666667","37.93103448","78.125","80","3.444444444","5.555555556","1.555555556","7.111111111","4.305555556","6.944444444","1.944444444","8.888888889"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00005","","","","30","30","3","2","4","4","6","26","11","13","0.9","0.7","4.05","5","2","7","3","1","0","1.6","5.65","24","0.081818182","0.053846154","0.066666667","0.923076923","0.8","0.423076923","0.366666667","0.061538462","0.053333333","0.155769231","0.135","45.83333333","28.31858407","86.66666667","1","1.777777778","4.5","6.277777778","1.153846154","2.051282051","5.192307692","7.243589744"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00006","","","","30","29","1","2","8","3","3","29","18","18","2.45","1.1","1.3","4","2","3","4","1","1.65","3.55","4.85","36","0.136111111","0.061111111","0.098611111","1.24137931","1.2","0.620689655","0.6","0.122413793","0.118333333","0.044827586","0.043333333","50","73.19587629","96.66666667","2.722222222","3.944444444","1.444444444","5.388888889","2.816091954","4.08045977","1.494252874","5.574712644"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00007","","","","30","22","1","2","8","6","5","22","50","47","8.75","2.35","6.35","9","3","6","3","1","1.38","11.1","17.45","97","0.175","0.05","0.11443299","4.409090909","3.233333333","2.272727273","1.666666667","0.504545455","0.37","0.288636364","0.211666667","51.54639175","63.61031519","73.33333333","9.722222222","12.33333333","7.055555556","19.38888889","13.25757576","16.81818182","9.621212121","26.43939394"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00008","","","","30","30","2","2","6","5","3","27","62","74","6.6","2.65","9.4","4","2","3","3","3","1.38","9.25","18.65","136","0.106451613","0.035810811","0.068014706","5.037037037","4.533333333","2.296296296","2.066666667","0.342592593","0.308333333","0.348148148","0.313333333","45.58823529","49.59785523","90","7.333333333","10.27777778","10.44444444","20.72222222","8.148148148","11.41975309","11.60493827","23.02469136"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00009","","","","30","26","2","2","7","4","2","26","28","39","6.1","1.75","15.4","8","3","6","3","3","0.15","7.85","23.25","67","0.217857143","0.044871795","0.117164179","2.576923077","2.233333333","1.076923077","0.933333333","0.301923077","0.261666667","0.592307692","0.513333333","41.79104478","33.76344086","86.66666667","6.777777778","8.722222222","17.11111111","25.83333333","7.820512821","10.06410256","19.74358974","29.80769231"
"","","UGP2018NAM-AT02","","","","","","","","","UGP2018NAM-AT02-00010","","","","30","25","2","2","7","3","2","25","44","46","4.4","1.5","4.6","3","2","3","4","3","0","5.9","10.5","90","0.1","0.032608696","0.065555556","3.6","3","1.76","1.466666667","0.236","0.196666667","0.184","0.153333333","48.88888889","56.19047619","83.33333333","4.888888889","6.555555556","5.111111111","11.66666667","5.866666667","7.866666667","6.133333333","14"
