"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00001","","","","5","4","1","3","9","1","2","4","10","2","2","0.08","5","3","4","4","1","1","0.12","2.08","7.08","0.2","0.04","12","3","2.4","2.5","2","0.52","0.416","1.25","1","83.33333333","29.37853107","80","0.173333333","13.33333333","13.86666667","33.33333333","47.2","16.66666667","17.33333333","41.66666667","59"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00002","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00003","","","","5","5","2","2","8","1","2","5","5","3","0.4","0.06","6","8","6","3","1","1","0.12","0.46","6.46","0.08","0.02","8","1.6","1.6","1","1","0.092","0.092","1.2","1.2","62.5","7.120743034","100","0.0575","2.666666667","3.066666667","40","43.06666667","2.666666667","3.066666667","40","43.06666667"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00004","","","","5","4","2","2","8","1","2","4","3","1","0.44","0.04","1.5","8","5","3","3","3","0","0.48","1.98","0.146666667","0.04","4","1","0.8","0.75","0.6","0.12","0.096","0.375","0.3","75","24.24242424","80","0.12","2.933333333","3.2","10","13.2","3.666666667","4","12.5","16.5"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00005","","","","5","5","1","1","9","1","2","5","4","4","0.26","0.08","6.5","2","7","2","1","1","0.12","0.34","6.84","0.065","0.02","8","1.6","1.6","0.8","0.8","0.068","0.068","1.3","1.3","50","4.970760234","100","0.0425","1.733333333","2.266666667","43.33333333","45.6","1.733333333","2.266666667","43.33333333","45.6"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00006","","","","5","4","2","2","8","1","3","4","0","0","0","0","2.4","","","","","","","0","2.4","","","0","0","0","0","0","0","0","0.6","0.48","","0","80","","0","0","16","16","0","0","20","20"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00007","","","","5","5","1","2","9","1","2","5","1","0","0.08","0","3","5","7","2","1","1","0.02","0.08","3.08","0.08","","1","0.2","0.2","0.2","0.2","0.016","0.016","0.6","0.6","100","2.597402597","100","0.08","0.533333333","0.533333333","20","20.53333333","0.533333333","0.533333333","20","20.53333333"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00008","","","","5","5","1","2","7","1","2","4","2","3","0.12","0.06","3.5","5","7","2","1","3","0.12","0.18","3.68","0.06","0.02","5","1.25","1","0.5","0.4","0.045","0.036","0.875","0.7","40","4.891304348","80","0.036","0.8","1.2","23.33333333","24.53333333","1","1.5","29.16666667","30.66666667"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00009","","","","5","4","1","2","8","1","2","4","0","0","0","0","5","","","","","","","0","5","","","0","0","0","0","0","0","0","1.25","1","","0","80","","0","0","33.33333333","33.33333333","0","0","41.66666667","41.66666667"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00010","","","","5","5","1","2","7","1","2","5","10","0","3","0","2.6","8","4","7","3","3","0","3","5.6","0.3","","10","2","2","2","2","0.6","0.6","0.52","0.52","100","53.57142857","100","0.3","20","20","17.33333333","37.33333333","20","20","17.33333333","37.33333333"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00011","","","","5","4","1","2","7","1","2","4","0","0","0","0","2.5","","","","","","","0","2.5","","","0","0","0","0","0","0","0","0.625","0.5","","0","80","","0","0","16.66666667","16.66666667","0","0","20.83333333","20.83333333"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00012","","","","5","5","1","2","9","1","2","5","23","4","5","0.1","6","3","2","4","1","1","0","5.1","11.1","0.217391304","0.025","27","5.4","5.4","4.6","4.6","1.02","1.02","1.2","1.2","85.18518519","45.94594595","100","0.188888889","33.33333333","34","40","74","33.33333333","34","40","74"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00013","","","","5","2","2","1","8","1","2","2","0","0","0","0","4.5","","","","","","","0","4.5","","","0","0","0","0","0","0","0","2.25","0.9","","0","40","","0","0","30","30","0","0","75","75"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00014","","","","5","4","2","2","8","1","2","4","0","0","0","0","4","","","","","","","0","4","","","0","0","0","0","0","0","0","1","0.8","","0","80","","0","0","26.66666667","26.66666667","0","0","33.33333333","33.33333333"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00015","","","","5","5","2","2","9","1","2","5","5","0","2","0","7","9","3","6","1","1","0","2","9","0.4","","5","1","1","1","1","0.4","0.4","1.4","1.4","100","22.22222222","100","0.4","13.33333333","13.33333333","46.66666667","60","13.33333333","13.33333333","46.66666667","60"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00016","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00017","","","","5","4","1","1","9","1","2","4","15","8","3","0.2","8.5","3","4","6","3","1","0.12","3.2","11.7","0.2","0.025","23","5.75","4.6","3.75","3","0.8","0.64","2.125","1.7","65.2173913","27.35042735","80","0.139130435","20","21.33333333","56.66666667","78","25","26.66666667","70.83333333","97.5"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00018","","","","5","5","1","2","9","1","2","5","4","0","0.26","0","6.2","4","6","2","3","1","0.12","0.26","6.46","0.065","","4","0.8","0.8","0.8","0.8","0.052","0.052","1.24","1.24","100","4.024767802","100","0.065","1.733333333","1.733333333","41.33333333","43.06666667","1.733333333","1.733333333","41.33333333","43.06666667"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00019","","","","5","5","1","2","7","1","2","4","4","0","1.5","0","4","9","4","2","3","1","0.12","1.5","5.5","0.375","","4","1","0.8","1","0.8","0.375","0.3","1","0.8","100","27.27272727","80","0.375","10","10","26.66666667","36.66666667","12.5","12.5","33.33333333","45.83333333"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00020","","","","5","3","1","2","6","1","2","3","0","0","0","0","4.5","","","","","","","0","4.5","","","0","0","0","0","0","0","0","1.5","0.9","","0","60","","0","0","30","30","0","0","50","50"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00021","","","","5","3","2","1","9","1","2","3","3","4","0.4","0.1","9","2","7","3","1","1","0","0.5","9.5","0.133333333","0.025","7","2.333333333","1.4","1","0.6","0.166666667","0.1","3","1.8","42.85714286","5.263157895","60","0.071428571","2.666666667","3.333333333","60","63.33333333","4.444444444","5.555555556","100","105.5555556"
"","","UGP2016SER-AT01","","","","","","","","","UGP2016SER-AT01-00022","","","","5","5","1","1","9","1","2","4","2","0","0.1","0","10","2","7","3","1","1","0","0.1","10.1","0.05","","2","0.5","0.4","0.5","0.4","0.025","0.02","2.5","2","100","0.99009901","80","0.05","0.666666667","0.666666667","66.66666667","67.33333333","0.833333333","0.833333333","83.33333333","84.16666667"
