"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00001","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00002","","","","3","2","1","1","8","1","","1","0","0","0","0","3","","","","","","","0","3","","","0","0","0","0","0","0","0","3","1","","0","33.33333333","0","0","33.33333333","33.33333333","","0","0","100","100"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00005","","","","3","3","2","3","7","1","2","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00006","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00007","","","","3","2","2","2","7","1","2","2","0","0","0","0","2.9","","","","","","","0","2.9","","","0","0","0","0","0","0","0","1.45","0.966666667","","0","66.66666667","0","0","32.22222222","32.22222222","","0","0","48.33333333","48.33333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00008","","","","3","2","1","3","6","1","2","1","0","0","0","0","0.4","","","","","","","0","0.4","","","0","0","0","0","0","0","0","0.4","0.133333333","","0","33.33333333","0","0","4.444444444","4.444444444","","0","0","13.33333333","13.33333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00009","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00010","","","","3","1","3","3","5","1","2","1","0","0","0","0","0.2","","","","","","","0","0.2","","","0","0","0","0","0","0","0","0.2","0.066666667","","0","33.33333333","0","0","2.222222222","2.222222222","","0","0","6.666666667","6.666666667"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00011","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00012","","","","3","1","3","5","6","1","2","1","0","0","0","0","1.4","","","","","","","0","1.4","","","0","0","0","0","0","0","0","1.4","0.466666667","","0","33.33333333","0","0","15.55555556","15.55555556","","0","0","46.66666667","46.66666667"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00013","","","","3","3","1","1","8","1","2","1","2","0","0.5","0","0.1","","","","","","","0.5","0.6","0.25","","2","2","0.666666667","2","0.666666667","0.5","0.166666667","0.1","0.033333333","100","83.33333333","33.33333333","5.555555556","5.555555556","1.111111111","6.666666667","0.25","16.66666667","16.66666667","3.333333333","20"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00014","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00015","","","","3","2","1","3","8","1","2","2","0","0","0","0","7.3","","","","","","","0","7.3","","","0","0","0","0","0","0","0","3.65","2.433333333","","0","66.66666667","0","0","81.11111111","81.11111111","","0","0","121.6666667","121.6666667"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00016","","","","3","1","2","4","7","1","3","1","0","0","0","0","1.2","","","","","","","0","1.2","","","0","0","0","0","0","0","0","1.2","0.4","","0","33.33333333","0","0","13.33333333","13.33333333","","0","0","40","40"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00017","","","","3","2","1","3","6","1","1","1","0","0","0","0","0.8","","","","","","","0","0.8","","","0","0","0","0","0","0","0","0.8","0.266666667","","0","33.33333333","0","0","8.888888889","8.888888889","","0","0","26.66666667","26.66666667"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00018","","","","3","3","2","4","5","1","2","1","0","0","0","0","0.2","","","","","","","0","0.2","","","0","0","0","0","0","0","0","0.2","0.066666667","","0","33.33333333","0","0","2.222222222","2.222222222","","0","0","6.666666667","6.666666667"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00019","","","","3","1","1","2","6","1","1","1","0","0","0","0","1.7","","","","","","","0","1.7","","","0","0","0","0","0","0","0","1.7","0.566666667","","0","33.33333333","0","0","18.88888889","18.88888889","","0","0","56.66666667","56.66666667"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00020","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00021","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00022","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00023","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00024","","","","3","3","2","3","7","1","2","3","0","0","0","0","3.8","","","","","","","0","3.8","","","0","0","0","0","0","0","0","1.266666667","1.266666667","","0","100","0","0","42.22222222","42.22222222","","0","0","42.22222222","42.22222222"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00025","","","","3","3","3","3","6","2","2","1","0","0","0","0","0.4","","","","","","","0","0.4","","","0","0","0","0","0","0","0","0.4","0.133333333","","0","33.33333333","0","0","4.444444444","4.444444444","","0","0","13.33333333","13.33333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00026","","","","3","3","4","4","7","2","3","3","0","0","0","0","2","","","","","","","0","2","","","0","0","0","0","0","0","0","0.666666667","0.666666667","","0","100","0","0","22.22222222","22.22222222","","0","0","22.22222222","22.22222222"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00027","","","","3","1","3","3","5","2","2","1","0","0","0","0","0.1","","","","","","","0","0.1","","","0","0","0","0","0","0","0","0.1","0.033333333","","0","33.33333333","0","0","1.111111111","1.111111111","","0","0","3.333333333","3.333333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00028","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00029","","","","3","1","2","4","6","1","3","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00030","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00031","","","","3","","","","","","","","0","0","0","0","0.5","","","","","","","0","0.5","","","0","","0","","0","","0","","0.166666667","","0","","0","0","5.555555556","5.555555556","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00032","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00033","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00034","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00035","","","","3","1","1","2","7","1","2","1","0","0","0","0","3.3","","","","","","","0","3.3","","","0","0","0","0","0","0","0","3.3","1.1","","0","33.33333333","0","0","36.66666667","36.66666667","","0","0","110","110"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00036","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00037","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00038","","","","3","2","2","2","6","1","1","1","0","0","0","0","0.1","","","","","","","0","0.1","","","0","0","0","0","0","0","0","0.1","0.033333333","","0","33.33333333","0","0","1.111111111","1.111111111","","0","0","3.333333333","3.333333333"
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00039","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2014SER-OT01","","","","","","","","","UGP2014SER-OT01-00040","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
