"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00001","","","","5","3","2","2","1","1","3","1","3","0.16","0.06","0.14","6","3","4.92","0.22","0.36","4","0.16","0.02","0.055","1.333333333","0.8","0.333333333","0.2","0.073333333","0.044","0.046666667","0.028","25","61.11111111","60","1.066666667","1.466666667","0.933333333","2.4","1.777777778","2.444444444","1.555555556","4"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00002","","","","5","5","2","2","1","3","5","9","9","0.88","0.02","0.16","6","1","4.92","0.9","1.06","18","0.097777778","0.002222222","0.05","3.6","3.6","1.8","1.8","0.18","0.18","0.032","0.032","50","84.90566038","100","5.866666667","6","1.066666667","7.066666667","5.866666667","6","1.066666667","7.066666667"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00003","","","","5","5","2","3","1","5","5","11","14","10.6","0.4","2.2","1","5","0.12","11","13.2","25","0.963636364","0.028571429","0.44","5","5","2.2","2.2","2.2","2.2","0.44","0.44","44","83.33333333","100","70.66666667","73.33333333","14.66666667","88","70.66666667","73.33333333","14.66666667","88"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00004","","","","5","1","1","3","1","2","1","2","0","0.7","0","1","1","5","1.65","0.7","1.7","2","0.35","","0.35","2","0.4","2","0.4","0.7","0.14","1","0.2","100","41.17647059","20","4.666666667","4.666666667","6.666666667","11.33333333","23.33333333","23.33333333","33.33333333","56.66666667"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00005","","","","5","2","1","2","1","2","2","4","3","1.2","0.1","0.5","1","5","0.12","1.3","1.8","7","0.3","0.033333333","0.185714286","3.5","1.4","2","0.8","0.65","0.26","0.25","0.1","57.14285714","72.22222222","40","8","8.666666667","3.333333333","12","20","21.66666667","8.333333333","30"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00006","","","","5","5","2","3","1","3","5","15","2","4.2","0.02","0.6","1","2","1.65","4.22","4.82","17","0.28","0.01","0.248235294","3.4","3.4","3","3","0.844","0.844","0.12","0.12","88.23529412","87.55186722","100","28","28.13333333","4","32.13333333","28","28.13333333","4","32.13333333"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00007","","","","5","3","2","2","1","3","3","15","12","1.8","0.24","2","5","3","4.41","2.04","4.04","27","0.12","0.02","0.075555556","9","5.4","5","3","0.68","0.408","0.666666667","0.4","55.55555556","50.4950495","60","12","13.6","13.33333333","26.93333333","20","22.66666667","22.22222222","44.88888889"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00008","","","","5","3","2","2","1","1","3","7","12","1.6","0.24","1.8","1","3","1.38","1.84","3.64","19","0.228571429","0.02","0.096842105","6.333333333","3.8","2.333333333","1.4","0.613333333","0.368","0.6","0.36","36.84210526","50.54945055","60","10.66666667","12.26666667","12","24.26666667","17.77777778","20.44444444","20","40.44444444"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00009","","","","5","4","2","2","1","6","4","12","14","1.6","0.36","0.32","6","4","0.12","1.96","2.28","26","0.133333333","0.025714286","0.075384615","6.5","5.2","3","2.4","0.49","0.392","0.08","0.064","46.15384615","85.96491228","80","10.66666667","13.06666667","2.133333333","15.2","13.33333333","16.33333333","2.666666667","19"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00010","","","","5","1","1","4","1","3","1","0","1","0","0.01","2.4","1","5","1.38","0.01","2.41","1","","0.01","0.01","1","0.2","0","0","0.01","0.002","2.4","0.48","0","0.414937759","20","0","0.066666667","16","16.06666667","0","0.333333333","80","80.33333333"
"","","UGP2012NAM-PT02","","","","","","","","","UGP2012NAM-PT02-00011","","","","5","4","2","3","1","4","4","12","10","4.2","0.2","0.4","1","5","0.15","4.4","4.8","22","0.35","0.02","0.2","5.5","4.4","3","2.4","1.1","0.88","0.1","0.08","54.54545455","91.66666667","80","28","29.33333333","2.666666667","32","35","36.66666667","3.333333333","40"
