"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00012","","","","20","14","1","1","7","1","1","14","28","16","4","0.2","6","8","4","7","1","1","7.76","4.2","10.2","0.142857143","0.0125","44","3.142857143","2.2","2","1.4","0.3","0.21","0.428571429","0.3","63.63636364","41.17647059","70","6.666666667","7","10","17","0.095454545","9.523809524","10","14.28571429","24.28571429"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00013","","","","20","4","1","2","6","1","1","4","11","9","9.1","0.8","14.5","4","","4","1","1","0.12","9.9","24.4","0.827272727","0.088888889","20","5","1","2.75","0.55","2.475","0.495","3.625","0.725","55","40.57377049","20","15.16666667","16.5","24.16666667","40.66666667","0.495","75.83333333","82.5","120.8333333","203.3333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00014","","","","20","4","1","1","8","1","1","4","8","4","1.2","0.2","7","3","6","3","1","1","0","1.4","8.4","0.15","0.05","12","3","0.6","2","0.4","0.35","0.07","1.75","0.35","66.66666667","16.66666667","20","2","2.333333333","11.66666667","14","0.116666667","10","11.66666667","58.33333333","70"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00015","","","","20","10","1","2","9","1","2","10","0","16","0","0.4","16","","","","","","","0.4","16.4","","0.025","16","1.6","0.8","0","0","0.04","0.02","1.6","0.8","0","2.43902439","50","0","0.666666667","26.66666667","27.33333333","0.025","0","1.333333333","53.33333333","54.66666667"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00016","","","","20","","2","","","1","1","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00017","","","","20","8","1","2","5","1","2","8","9","11","17.3","1.5","15","3","5","4","1","1","0.03","18.8","33.8","1.922222222","0.136363636","20","2.5","1","1.125","0.45","2.35","0.94","1.875","0.75","45","55.62130178","40","28.83333333","31.33333333","25","56.33333333","0.94","72.08333333","78.33333333","62.5","140.8333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00018","","","","20","2","2","2","6","1","2","2","2","0","0.2","0","1.8","8","6","4","1","1","7.23","0.2","2","0.1","","2","1","0.1","1","0.1","0.1","0.01","0.9","0.09","100","10","10","0.333333333","0.333333333","3","3.333333333","0.1","3.333333333","3.333333333","30","33.33333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00019","","","","20","10","1","1","8","1","1","10","62","46","6","1.4","28","3","2","8","1","1","0.12","7.4","35.4","0.096774194","0.030434783","108","10.8","5.4","6.2","3.1","0.74","0.37","2.8","1.4","57.40740741","20.9039548","50","10","12.33333333","46.66666667","59","0.068518519","20","24.66666667","93.33333333","118"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00020","","","","20","2","1","1","2","1","1","2","4","2","0.4","0.4","8","8","5","7","1","1","0","0.8","8.8","0.1","0.2","6","3","0.3","2","0.2","0.4","0.04","4","0.4","66.66666667","9.090909091","10","0.666666667","1.333333333","13.33333333","14.66666667","0.133333333","6.666666667","13.33333333","133.3333333","146.6666667"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00021","","","","20","6","1","2","8","1","2","6","10","4","9.7","2","18","3","2","4","1","1","14.37","11.7","29.7","0.97","0.5","14","2.333333333","0.7","1.666666667","0.5","1.95","0.585","3","0.9","71.42857143","39.39393939","30","16.16666667","19.5","30","49.5","0.835714286","53.88888889","65","100","165"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00022","","","","20","4","1","1","7","1","1","4","8","8","0.2","0.02","4","2","7","3","1","1","0","0.22","4.22","0.025","0.0025","16","4","0.8","2","0.4","0.055","0.011","1","0.2","50","5.213270142","20","0.333333333","0.366666667","6.666666667","7.033333333","0.01375","1.666666667","1.833333333","33.33333333","35.16666667"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00023","","","","20","","1","2","6","1","1","","10","12","21.6","0.9","18.5","7","2","4","1","1","0.69","22.5","41","2.16","0.075","22","","1.1","","0.5","","1.125","","0.925","45.45454545","54.87804878","","36","37.5","30.83333333","68.33333333","1.022727273","","","",""
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00024","","","","20","8","1","2","7","1","2","8","8","0","1.4","0","6","8","4","6","1","1","7.23","1.4","7.4","0.175","","8","1","0.4","1","0.4","0.175","0.07","0.75","0.3","100","18.91891892","40","2.333333333","2.333333333","10","12.33333333","0.175","5.833333333","5.833333333","25","30.83333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00025","","","","20","4","2","2","6","1","2","4","0","0","0","0","1.8","","","","","","","0","1.8","","","0","0","0","0","0","0","0","0.45","0.09","","0","20","0","0","3","3","","0","0","15","15"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00026","","","","20","10","1","2","9","1","2","10","0","16","0","0.4","16","","","","","","","0.4","16.4","","0.025","16","1.6","0.8","0","0","0.04","0.02","1.6","0.8","0","2.43902439","50","0","0.666666667","26.66666667","27.33333333","0.025","0","1.333333333","53.33333333","54.66666667"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00027","","","","20","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00028","","","","20","4","1","1","8","1","1","4","8","4","1.2","0.2","7","3","6","3","1","1","3.76","1.4","8.4","0.15","0.05","12","3","0.6","2","0.4","0.35","0.07","1.75","0.35","66.66666667","16.66666667","20","2","2.333333333","11.66666667","14","0.116666667","10","11.66666667","58.33333333","70"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00029","","","","20","10","1","1","8","1","1","10","16","0","1.2","0","10","8","5","3","1","1","3.96","1.2","11.2","0.075","","16","1.6","0.8","1.6","0.8","0.12","0.06","1","0.5","100","10.71428571","50","2","2","16.66666667","18.66666667","0.075","4","4","33.33333333","37.33333333"
"","","UGP2016KAC-ST01","","","","","","","","","UGP2016KAC-ST01-00030","","","","20","8","1","1","7","1","1","8","0","0","0","0","3","","","","","","","0","3","","","0","0","0","0","0","0","0","0.375","0.15","","0","40","0","0","5","5","","0","0","12.5","12.5"
