"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015NGE-ST01","","","","","","","","","UGP2015NGE-ST01-00001","","","","20","12","4","2","8","2","2","12","6","2","0.8","0.02","6","8","3","4","2","1","0","0.82","6.82","0.133333333","0.01","8","0.666666667","0.4","0.5","0.3","0.068333333","0.041","0.5","0.3","75","12.02346041","60","1.333333333","1.366666667","10","11.36666667","0.1025","2.222222222","2.277777778","16.66666667","18.94444444"
"","","UGP2015NGE-ST01","","","","","","","","","UGP2015NGE-ST01-00002","","","","20","17","1","3","6","1","1","17","13","9","13","0.08","14.5","5","3","3","1","1","0","13.08","27.58","1","0.008888889","22","1.294117647","1.1","0.764705882","0.65","0.769411765","0.654","0.852941176","0.725","59.09090909","47.42567078","85","21.66666667","21.8","24.16666667","45.96666667","0.594545455","25.49019608","25.64705882","28.43137255","54.07843137"
"","","UGP2015NGE-ST01","","","","","","","","","UGP2015NGE-ST01-00003","","","","8","4","2","7","2","2","4","4","2","1","0.02","0.08","8","5","3","1","1","","0","0.1","8.1","0.01","0.08","3","0.75","0.375","0.5","0.25","0.025","0.0125","2","1","66.66666667","1.234567901","50","0.083333333","0.416666667","33.33333333","33.75","0.033333333","0.166666667","0.833333333","66.66666667","67.5"
"","","UGP2015NGE-ST01","","","","","","","","","UGP2015NGE-ST01-00004","","","","20","10","2","2","8","2","2","10","18","16","4.6","1","14","4","5","7","2","1","0","5.6","19.6","0.255555556","0.0625","34","3.4","1.7","1.8","0.9","0.56","0.28","1.4","0.7","52.94117647","28.57142857","50","7.666666667","9.333333333","23.33333333","32.66666667","0.164705882","15.33333333","18.66666667","46.66666667","65.33333333"
"","","UGP2015NGE-ST01","","","","","","","","","UGP2015NGE-ST01-00005","","","","20","16","1","3","7","2","2","12","50","22","10","0.9","22","3","3","3","2","1","10.5","10.9","32.9","0.2","0.040909091","72","6","3.6","4.166666667","2.5","0.908333333","0.545","1.833333333","1.1","69.44444444","33.13069909","60","16.66666667","18.16666667","36.66666667","54.83333333","0.151388889","27.77777778","30.27777778","61.11111111","91.38888889"
"","","UGP2015NGE-ST01","","","","","","","","","UGP2015NGE-ST01-00006","","","","20","14","2","3","8","2","2","14","0","0","0","0","6","","","","","","","0","6","","","0","0","0","0","0","0","0","0.428571429","0.3","","0","70","0","0","10","10","","0","0","14.28571429","14.28571429"
"","","UGP2015NGE-ST01","","","","","","","","","UGP2015NGE-ST01-00007","","","","20","16","2","3","9","2","2","10","18","2","6","0.02","6.2","9","2","4","2","1","0","6.02","12.22","0.333333333","0.01","20","2","1","1.8","0.9","0.602","0.301","0.62","0.31","90","49.26350245","50","10","10.03333333","10.33333333","20.36666667","0.301","20","20.06666667","20.66666667","40.73333333"
"","","UGP2015NGE-ST01","","","","","","","","","UGP2015NGE-ST01-00008","","","","20","16","2","2","6","2","2","12","12","4","3","0.04","4","5","4","4","1","1","0.02","3.04","7.04","0.25","0.01","16","1.333333333","0.8","1","0.6","0.253333333","0.152","0.333333333","0.2","75","43.18181818","60","5","5.066666667","6.666666667","11.73333333","0.19","8.333333333","8.444444444","11.11111111","19.55555556"
"","","UGP2015NGE-ST01","","","","","","","","","UGP2015NGE-ST01-00009","","","","20","14","2","2","8","2","2","8","14","10","4","0.06","3","8","3","3","1","1","1.04","4.06","7.06","0.285714286","0.006","24","3","1.2","1.75","0.7","0.5075","0.203","0.375","0.15","58.33333333","57.50708215","40","6.666666667","6.766666667","5","11.76666667","0.169166667","16.66666667","16.91666667","12.5","29.41666667"
"","","UGP2015NGE-ST01","","","","","","","","","UGP2015NGE-ST01-00010","","","","20","14","2","2","7","2","2","12","10","16","1.4","0.1","4.8","3","6","3","1","1","7.23","1.5","6.3","0.14","0.00625","26","2.166666667","1.3","0.833333333","0.5","0.125","0.075","0.4","0.24","38.46153846","23.80952381","60","2.333333333","2.5","8","10.5","0.057692308","3.888888889","4.166666667","13.33333333","17.5"
