"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00011","","","","20","16","2","2","9","1","2","16","38","16","7","0.16","8","5","4","2","1","1","0","7.16","15.16","0.184210526","0.01","54","3.375","2.7","2.375","1.9","0.4475","0.358","0.5","0.4","70.37037037","47.22955145","80","11.66666667","11.93333333","13.33333333","25.26666667","0.132592593","14.58333333","14.91666667","16.66666667","31.58333333"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00012","","","","20","18","1","2","7","1","2","18","40","2","9.6","0.3","10","6","4","2","1","3","3.96","9.9","19.9","0.24","0.15","42","2.333333333","2.1","2.222222222","2","0.55","0.495","0.555555556","0.5","95.23809524","49.74874372","90","16","16.5","16.66666667","33.16666667","0.235714286","17.77777778","18.33333333","18.51851852","36.85185185"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00013","","","","20","20","2","2","8","1","2","20","32","6","9.6","0.04","8","8","6","2","1","1","0.12","9.64","17.64","0.3","0.006666667","38","1.9","1.9","1.6","1.6","0.482","0.482","0.4","0.4","84.21052632","54.64852608","100","16","16.06666667","13.33333333","29.4","0.253684211","16","16.06666667","13.33333333","29.4"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00014","","","","20","14","2","2","6","1","2","14","16","5","9","0.4","16.2","3","4","2","1","1","7.76","9.4","25.6","0.5625","0.08","21","1.5","1.05","1.142857143","0.8","0.671428571","0.47","1.157142857","0.81","76.19047619","36.71875","70","15","15.66666667","27","42.66666667","0.447619048","21.42857143","22.38095238","38.57142857","60.95238095"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00015","","","","20","18","2","3","6","1","2","18","24","2","2","0.02","2","3","4","3","1","1","0.15","2.02","4.02","0.083333333","0.01","26","1.444444444","1.3","1.333333333","1.2","0.112222222","0.101","0.111111111","0.1","92.30769231","50.24875622","90","3.333333333","3.366666667","3.333333333","6.7","0.077692308","3.703703704","3.740740741","3.703703704","7.444444444"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00016","","","","20","16","1","3","5","1","2","16","46","12","8","0.24","2","4","4","3","1","3","11.03","8.24","10.24","0.173913043","0.02","58","3.625","2.9","2.875","2.3","0.515","0.412","0.125","0.1","79.31034483","80.46875","80","13.33333333","13.73333333","3.333333333","17.06666667","0.142068966","16.66666667","17.16666667","4.166666667","21.33333333"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00017","","","","20","20","1","3","8","1","2","20","16","0","4.8","0","4.6","6","4","2","3","3","3.96","4.8","9.4","0.3","","16","0.8","0.8","0.8","0.8","0.24","0.24","0.23","0.23","100","51.06382979","100","8","8","7.666666667","15.66666667","0.3","8","8","7.666666667","15.66666667"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00018","","","","20","19","1","2","6","1","2","19","8","3","12","0.3","12.4","","3","3","1","1","0","12.3","24.7","1.5","0.1","11","0.578947368","0.55","0.421052632","0.4","0.647368421","0.615","0.652631579","0.62","72.72727273","49.79757085","95","20","20.5","20.66666667","41.16666667","1.118181818","21.05263158","21.57894737","21.75438596","43.33333333"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00019","","","","20","11","1","2","7","1","2","11","14","2","12","0.8","12.3","","5","2","1","1","0.12","12.8","25.1","0.857142857","0.4","16","1.454545455","0.8","1.272727273","0.7","1.163636364","0.64","1.118181818","0.615","87.5","50.99601594","55","20","21.33333333","20.5","41.83333333","0.8","36.36363636","38.78787879","37.27272727","76.06060606"
"","","UGP2015NAM-ST01","","","","","","","","","UGP2015NAM-ST01-00020","","","","20","20","3","5","7","1","2","20","20","16","0.8","0.4","6.4","5","3","5","1","1","11.03","1.2","7.6","0.04","0.025","36","1.8","1.8","1","1","0.06","0.06","0.32","0.32","55.55555556","15.78947368","100","1.333333333","2","10.66666667","12.66666667","0.033333333","1.333333333","2","10.66666667","12.66666667"
