"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00011","","","","20","15","2","2","4","1","3","14","0","4","0","0.05","5.2","9","7","4","1","3","0.69","0.05","5.25","","0.0125","4","0.285714286","0.2","0","0","0.003571429","0.0025","0.371428571","0.26","0","0.952380952","70","0.0125","0","0.083333333","8.666666667","8.75","0","0.119047619","12.38095238","12.5"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00012","","","","20","18","2","2","7","2","2","16","13","15","1.5","0.78","8.5","8","5","4","1","5","0","2.28","10.78","0.115384615","0.052","28","1.75","1.4","0.8125","0.65","0.1425","0.114","0.53125","0.425","46.42857143","21.15027829","80","0.081428571","2.5","3.8","14.16666667","17.96666667","3.125","4.75","17.70833333","22.45833333"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00013","","","","20","13","1","2","6","2","4","13","7","6","0.7","0.25","1.8","6","6","7","1","1","0","0.95","2.75","0.1","0.041666667","13","1","0.65","0.538461538","0.35","0.073076923","0.0475","0.138461538","0.09","53.84615385","34.54545455","65","0.073076923","1.166666667","1.583333333","3","4.583333333","1.794871795","2.435897436","4.615384615","7.051282051"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00014","","","","20","15","3","3","7","1","1","11","0","0","0","0","7.5","","","","","","","0","7.5","","","0","0","0","0","0","0","0","0.681818182","0.375","","0","55","","0","0","12.5","12.5","0","0","22.72727273","22.72727273"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00015","","","","20","16","1","2","6","1","1","15","9","6","1","0.3","2","8","4","4","1","1","0","1.3","3.3","0.111111111","0.05","15","1","0.75","0.6","0.45","0.086666667","0.065","0.133333333","0.1","60","39.39393939","75","0.086666667","1.666666667","2.166666667","3.333333333","5.5","2.222222222","2.888888889","4.444444444","7.333333333"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00016","","","","20","13","1","1","5","1","1","12","9","5","0.44","0.36","1.6","2","7","7","1","3","0","0.8","2.4","0.048888889","0.072","14","1.166666667","0.7","0.75","0.45","0.066666667","0.04","0.133333333","0.08","64.28571429","33.33333333","60","0.057142857","0.733333333","1.333333333","2.666666667","4","1.222222222","2.222222222","4.444444444","6.666666667"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00017","","","","20","11","3","3","6","1","1","9","14","8","1.2","0.2","0.6","2","7","7","1","3","0","1.4","2","0.085714286","0.025","22","2.444444444","1.1","1.555555556","0.7","0.155555556","0.07","0.066666667","0.03","63.63636364","70","45","0.063636364","2","2.333333333","1","3.333333333","4.444444444","5.185185185","2.222222222","7.407407407"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00018","","","","20","12","2","4","5","3","3","10","3","4","0.2","0.38","1.5","8","5","4","1","1","5.46","0.58","2.08","0.066666667","0.095","7","0.7","0.35","0.3","0.15","0.058","0.029","0.15","0.075","42.85714286","27.88461538","50","0.082857143","0.333333333","0.966666667","2.5","3.466666667","0.666666667","1.933333333","5","6.933333333"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00019","","","","20","14","1","2","6","1","1","10","1","0","0.2","0","4.8","8","5","3","1","1","0","0.2","5","0.2","","1","0.1","0.05","0.1","0.05","0.02","0.01","0.48","0.24","100","4","50","0.2","0.333333333","0.333333333","8","8.333333333","0.666666667","0.666666667","16","16.66666667"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00020","","","","20","14","1","2","6","1","3","13","0","7","0","0.16","1.8","8","7","3","1","1","0","0.16","1.96","","0.022857143","7","0.538461538","0.35","0","0","0.012307692","0.008","0.138461538","0.09","0","8.163265306","65","0.022857143","0","0.266666667","3","3.266666667","0","0.41025641","4.615384615","5.025641026"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00021","","","","20","3","2","2","4","2","2","3","0","2","0","0.04","0.4","2","9","3","1","1","0","0.04","0.44","","0.02","2","0.666666667","0.1","0","0","0.013333333","0.002","0.133333333","0.02","0","9.090909091","15","0.02","0","0.066666667","0.666666667","0.733333333","0","0.444444444","4.444444444","4.888888889"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00022","","","","20","10","3","4","6","1","1","10","10","1","2","0.05","2.2","2","3","4","1","1","0","2.05","4.25","0.2","0.05","11","1.1","0.55","1","0.5","0.205","0.1025","0.22","0.11","90.90909091","48.23529412","50","0.186363636","3.333333333","3.416666667","3.666666667","7.083333333","6.666666667","6.833333333","7.333333333","14.16666667"
"","","UGP2016KAC-PT01","","","","","","","","","UGP2016KAC-PT01-00023","","","","20","13","1","2","7","2","2","13","6","10","0.56","0.3","3","8","6","4","1","1","0","0.86","3.86","0.093333333","0.03","16","1.230769231","0.8","0.461538462","0.3","0.066153846","0.043","0.230769231","0.15","37.5","22.27979275","65","0.05375","0.933333333","1.433333333","5","6.433333333","1.435897436","2.205128205","7.692307692","9.897435897"
