"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00001","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00002","","","","3","1","1","2","6","1","2","1","0","0","0","0","2","","","","","","","0","2","0","","","","0","0","0","0","0","0","2","0.666666667","","0","33.33333333","0","0","22.22222222","22.22222222","0","0","66.66666667","66.66666667"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00003","","","","3","2","1","","","3","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00004","","","","3","3","2","3","7","1","2","2","0","0","0","0","7","","","","","","","0","7","0","","","","0","0","0","0","0","0","3.5","2.333333333","","0","66.66666667","0","0","77.77777778","77.77777778","0","0","116.6666667","116.6666667"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00005","","","","3","2","3","6","7","2","3","1","0","0","0","0","0.2","","","","","","","0","0.2","0","","","","0","0","0","0","0","0","0.2","0.066666667","","0","33.33333333","0","0","2.222222222","2.222222222","0","0","6.666666667","6.666666667"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00006","","","","3","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00007","","","","3","2","1","2","8","1","2","1","0","0","0","0","8.2","","","","","","","0","8.2","0","","","","0","0","0","0","0","0","8.2","2.733333333","","0","33.33333333","0","0","91.11111111","91.11111111","0","0","273.3333333","273.3333333"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00008","","","","3","3","1","2","7","1","2","2","9","2","3","0.02","3","9","1","1","8","3","0.12","3.02","6.02","11","0.333333333","0.01","0.274545455","5.5","3.666666667","4.5","3","1.51","1.006666667","1.5","1","81.81818182","50.16611296","66.66666667","33.33333333","33.55555556","33.33333333","66.88888889","50","50.33333333","50","100.3333333"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00009","","","","3","3","2","2","7","1","2","2","4","0","3.2","0","2","2","1","1","8","1","0.12","3.2","5.2","4","0.8","","0.8","2","1.333333333","2","1.333333333","1.6","1.066666667","1","0.666666667","100","61.53846154","66.66666667","35.55555556","35.55555556","22.22222222","57.77777778","53.33333333","53.33333333","33.33333333","86.66666667"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00010","","","","3","3","1","2","9","1","2","2","0","0","0","0","9","","","","","","","0","9","0","","","","0","0","0","0","0","0","4.5","3","","0","66.66666667","0","0","100","100","0","0","150","150"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00011","","","","3","3","2","2","8","1","3","2","2","0","0.62","0","3.2","9","1","1","2","3","1.5","0.62","3.82","2","0.31","","0.31","1","0.666666667","1","0.666666667","0.31","0.206666667","1.6","1.066666667","100","16.23036649","66.66666667","6.888888889","6.888888889","35.55555556","42.44444444","10.33333333","10.33333333","53.33333333","63.66666667"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00012","","","","3","3","1","2","9","1","4","2","0","0","0","0","4.2","","","","","","","0","4.2","0","","","","0","0","0","0","0","0","2.1","1.4","","0","66.66666667","0","0","46.66666667","46.66666667","0","0","70","70"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00013","","","","3","2","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00014","","","","3","2","2","2","8","1","2","2","5","0","4","0","3.7","8","1","1","5","1","0.02","4","7.7","5","0.8","","0.8","2.5","1.666666667","2.5","1.666666667","2","1.333333333","1.85","1.233333333","100","51.94805195","66.66666667","44.44444444","44.44444444","41.11111111","85.55555556","66.66666667","66.66666667","61.66666667","128.3333333"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00015","","","","3","2","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00016","","","","3","1","1","2","6","1","2","1","0","2","0","0.02","1.5","8","1","1","3","9","0.12","0.02","1.52","2","","0.01","0.01","2","0.666666667","0","0","0.02","0.006666667","1.5","0.5","0","1.315789474","33.33333333","0","0.222222222","16.66666667","16.88888889","0","0.666666667","50","50.66666667"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00017","","","","3","3","1","2","9","1","2","3","1","0","1.18","0","12","3","1","1","2","1","0.12","1.18","13.18","1","1.18","","1.18","0.333333333","0.333333333","0.333333333","0.333333333","0.393333333","0.393333333","4","4","100","8.952959029","100","13.11111111","13.11111111","133.3333333","146.4444444","13.11111111","13.11111111","133.3333333","146.4444444"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00018","","","","3","3","2","3","7","1","2","3","12","3","2","0.02","2","8","1","1","5","3","0.12","2.02","4.02","15","0.166666667","0.006666667","0.134666667","5","5","4","4","0.673333333","0.673333333","0.666666667","0.666666667","80","50.24875622","100","22.22222222","22.44444444","22.22222222","44.66666667","22.22222222","22.44444444","22.22222222","44.66666667"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00019","","","","3","3","2","2","9","1","2","3","0","0","0","0","8","","","","","","","0","8","0","","","","0","0","0","0","0","0","2.666666667","2.666666667","","0","100","0","0","88.88888889","88.88888889","0","0","88.88888889","88.88888889"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00020","","","","3","3","2","4","8","1","2","3","7","0","4","0","2","2","1","1","8","3","0.12","4","6","7","0.571428571","","0.571428571","2.333333333","2.333333333","2.333333333","2.333333333","1.333333333","1.333333333","0.666666667","0.666666667","100","66.66666667","100","44.44444444","44.44444444","22.22222222","66.66666667","44.44444444","44.44444444","22.22222222","66.66666667"
"","","UGP2015SER-OT02","","","","","","","","","UGP2015SER-OT02-00021","","","","3","3","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
