"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|CO_331:0000198","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root shape estimating 1-9 CIP|CO_331:0000181","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00001","","","","54","38","1","2","1","39","9.2","27","2.1","9.8","5","9","1","8","11.3","21.1","66","0.235897436","0.077777778","0.171212121","1.736842105","1.222222222","1.026315789","0.722222222","0.297368421","0.209259259","0.257894737","0.181481481","59.09090909","53.55450237","70.37037037","5.679012346","6.975308642","6.049382716","13.02469136","8.070175439","9.912280702","8.596491228","18.50877193"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00002","","","","54","38","2","3","1","24","4.2","37","2","15.4","4","9","1","2","6.2","21.6","61","0.175","0.054054054","0.101639344","1.605263158","1.12962963","0.631578947","0.444444444","0.163157895","0.114814815","0.405263158","0.285185185","39.3442623","28.7037037","70.37037037","2.592592593","3.827160494","9.50617284","13.33333333","3.684210526","5.438596491","13.50877193","18.94736842"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00003","","","","54","52","1","2","1","43","9","16","5","14.2","3","4","4","8","14","28.2","59","0.209302326","0.3125","0.237288136","1.134615385","1.092592593","0.826923077","0.796296296","0.269230769","0.259259259","0.273076923","0.262962963","72.88135593","49.64539007","96.2962963","5.555555556","8.641975309","8.765432099","17.40740741","5.769230769","8.974358974","9.102564103","18.07692308"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00004","","","","54","43","1","3","1","34","6.4","20","1.1","13.4","2","9","1","2","7.5","20.9","54","0.188235294","0.055","0.138888889","1.255813953","1","0.790697674","0.62962963","0.174418605","0.138888889","0.311627907","0.248148148","62.96296296","35.88516746","79.62962963","3.950617284","4.62962963","8.271604938","12.90123457","4.96124031","5.813953488","10.3875969","16.20155039"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00005","","","","54","45","1","2","1","38","11","17","1","28","6","9","1","8","12","40","55","0.289473684","0.058823529","0.218181818","1.222222222","1.018518519","0.844444444","0.703703704","0.266666667","0.222222222","0.622222222","0.518518519","69.09090909","30","83.33333333","6.790123457","7.407407407","17.28395062","24.69135802","8.148148148","8.888888889","20.74074074","29.62962963"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00006","","","","54","43","1","3","1","17","3.6","30","1.6","49","3","9","1","2","5.2","54.2","47","0.211764706","0.053333333","0.110638298","1.093023256","0.87037037","0.395348837","0.314814815","0.120930233","0.096296296","1.139534884","0.907407407","36.17021277","9.594095941","79.62962963","2.222222222","3.209876543","30.24691358","33.45679012","2.790697674","4.031007752","37.98449612","42.01550388"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00007","","","","54","52","1","3","1","105","32","66","4","36","3","4","7","8","36","72","171","0.304761905","0.060606061","0.210526316","3.288461538","3.166666667","2.019230769","1.944444444","0.692307692","0.666666667","0.692307692","0.666666667","61.40350877","50","96.2962963","19.75308642","22.22222222","22.22222222","44.44444444","20.51282051","23.07692308","23.07692308","46.15384615"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00008","","","","54","49","1","2","1","60","21","60","2.8","32","3","9","1","2","23.8","55.8","120","0.35","0.046666667","0.198333333","2.448979592","2.222222222","1.224489796","1.111111111","0.485714286","0.440740741","0.653061224","0.592592593","50","42.65232975","90.74074074","12.96296296","14.69135802","19.75308642","34.44444444","14.28571429","16.19047619","21.76870748","37.95918367"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00009","","","","54","48","3","3","1","46","10","22","1","13.8","1","9","1","8","11","24.8","68","0.217391304","0.045454545","0.161764706","1.416666667","1.259259259","0.958333333","0.851851852","0.229166667","0.203703704","0.2875","0.255555556","67.64705882","44.35483871","88.88888889","6.172839506","6.790123457","8.518518519","15.30864198","6.944444444","7.638888889","9.583333333","17.22222222"
"","","UGP2012BUY-FT01","","","","","","","","","UGP2012BUY-FT01-00010","","","","54","41","3","4","1","30","4","49","1.8","45","1","9","1","2","5.8","50.8","79","0.133333333","0.036734694","0.073417722","1.926829268","1.462962963","0.731707317","0.555555556","0.141463415","0.107407407","1.097560976","0.833333333","37.97468354","11.41732283","75.92592593","2.469135802","3.580246914","27.77777778","31.35802469","3.25203252","4.715447154","36.58536585","41.30081301"
