"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00001","","","","30","30","3","4","7","1","2","27","59","39","12","1","8.2","2","3","9","3","1","0","13","21.2","0.203389831","0.025641026","98","3.62962963","3.266666667","2.185185185","1.966666667","0.481481481","0.433333333","0.303703704","0.273333333","60.20408163","61.32075472","90","13.33333333","14.44444444","9.111111111","23.55555556","0.132653061","14.81481481","16.04938272","10.12345679","26.17283951"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00002","","","","30","17","1","3","7","2","2","17","11","22","3.8","0.4","2.6","5","3","5","7","4","0","4.2","6.8","0.345454545","0.018181818","33","1.941176471","1.1","0.647058824","0.366666667","0.247058824","0.14","0.152941176","0.086666667","33.33333333","61.76470588","56.66666667","4.222222222","4.666666667","2.888888889","7.555555556","0.127272727","7.450980392","8.235294118","5.098039216","13.33333333"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00003","","","","30","30","3","4","8","1","2","28","23","8","4.2","0.2","9.4","8","3","7","9","3","0","4.4","13.8","0.182608696","0.025","31","1.107142857","1.033333333","0.821428571","0.766666667","0.157142857","0.146666667","0.335714286","0.313333333","74.19354839","31.88405797","93.33333333","4.666666667","4.888888889","10.44444444","15.33333333","0.141935484","5","5.238095238","11.19047619","16.42857143"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00004","","","","30","28","5","6","6","1","2","23","30","16","3.4","0.6","2","6","3","4","5","2","0","4","6","0.113333333","0.0375","46","2","1.533333333","1.304347826","1","0.173913043","0.133333333","0.086956522","0.066666667","65.2173913","66.66666667","76.66666667","3.777777778","4.444444444","2.222222222","6.666666667","0.086956522","4.927536232","5.797101449","2.898550725","8.695652174"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00005","","","","30","29","2","3","8","1","2","26","33","9","9.4","0.28","11.6","8","3","9","1","1","0","9.68","21.28","0.284848485","0.031111111","42","1.615384615","1.4","1.269230769","1.1","0.372307692","0.322666667","0.446153846","0.386666667","78.57142857","45.4887218","86.66666667","10.44444444","10.75555556","12.88888889","23.64444444","0.23047619","12.05128205","12.41025641","14.87179487","27.28205128"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00006","","","","30","30","2","3","7","1","2","26","32","10","4.2","0.3","5.6","2","3","7","1","1","0.12","4.5","10.1","0.13125","0.03","42","1.615384615","1.4","1.230769231","1.066666667","0.173076923","0.15","0.215384615","0.186666667","76.19047619","44.55445545","86.66666667","4.666666667","5","6.222222222","11.22222222","0.107142857","5.384615385","5.769230769","7.179487179","12.94871795"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00007","","","","30","28","2","2","7","1","2","22","42","30","9.6","0.8","4.4","8","5","8","3","2","1.65","10.4","14.8","0.228571429","0.026666667","72","3.272727273","2.4","1.909090909","1.4","0.472727273","0.346666667","0.2","0.146666667","58.33333333","70.27027027","73.33333333","10.66666667","11.55555556","4.888888889","16.44444444","0.144444444","14.54545455","15.75757576","6.666666667","22.42424242"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00008","","","","30","26","1","5","9","1","2","23","36","14","10","0.52","21","2","3","8","3","1","0","10.52","31.52","0.277777778","0.037142857","50","2.173913043","1.666666667","1.565217391","1.2","0.457391304","0.350666667","0.913043478","0.7","72","33.37563452","76.66666667","11.11111111","11.68888889","23.33333333","35.02222222","0.2104","14.49275362","15.24637681","30.43478261","45.68115942"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00009","","","","30","2","1","2","5","1","6","2","3","1","0.4","0.04","0.2","6","5","5","7","1","0.02","0.44","0.64","0.133333333","0.04","4","2","0.133333333","1.5","0.1","0.22","0.014666667","0.1","0.006666667","75","68.75","6.666666667","0.444444444","0.488888889","0.222222222","0.711111111","0.11","6.666666667","7.333333333","3.333333333","10.66666667"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00010","","","","30","27","2","3","7","2","2","20","6","11","0.8","0.2","12.6","2","3","5","3","1","0.12","1","13.6","0.133333333","0.018181818","17","0.85","0.566666667","0.3","0.2","0.05","0.033333333","0.63","0.42","35.29411765","7.352941176","66.66666667","0.888888889","1.111111111","14","15.11111111","0.058823529","1.333333333","1.666666667","21","22.66666667"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00011","","","","30","30","3","4","8","1","2","27","51","12","11.2","0.5","8.4","8","3","5","3","3","0.12","11.7","20.1","0.219607843","0.041666667","63","2.333333333","2.1","1.888888889","1.7","0.433333333","0.39","0.311111111","0.28","80.95238095","58.20895522","90","12.44444444","13","9.333333333","22.33333333","0.185714286","13.82716049","14.44444444","10.37037037","24.81481481"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00012","","","","30","11","2","2","5","1","2","11","17","2","5","0.04","1.2","2","3","8","1","3","0","5.04","6.24","0.294117647","0.02","19","1.727272727","0.633333333","1.545454545","0.566666667","0.458181818","0.168","0.109090909","0.04","89.47368421","80.76923077","36.66666667","5.555555556","5.6","1.333333333","6.933333333","0.265263158","15.15151515","15.27272727","3.636363636","18.90909091"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00014","","","","30","30","2","2","7","1","2","25","29","34","5.4","1","4.5","6","3","2","5","3","0","6.4","10.9","0.186206897","0.029411765","63","2.52","2.1","1.16","0.966666667","0.256","0.213333333","0.18","0.15","46.03174603","58.71559633","83.33333333","6","7.111111111","5","12.11111111","0.101587302","7.2","8.533333333","6","14.53333333"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00015","","","","30","24","4","5","6","1","2","20","16","23","2.4","0.44","3.6","8","3","3","7","5","4.92","2.84","6.44","0.15","0.019130435","39","1.95","1.3","0.8","0.533333333","0.142","0.094666667","0.18","0.12","41.02564103","44.09937888","66.66666667","2.666666667","3.155555556","4","7.155555556","0.072820513","4","4.733333333","6","10.73333333"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00016","","","","30","27","3","5","8","1","2","21","33","19","5.8","0.64","14.4","2","3","8","1","1","0","6.44","20.84","0.175757576","0.033684211","52","2.476190476","1.733333333","1.571428571","1.1","0.306666667","0.214666667","0.685714286","0.48","63.46153846","30.90211132","70","6.444444444","7.155555556","16","23.15555556","0.123846154","9.206349206","10.22222222","22.85714286","33.07936508"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00017","","","","30","24","2","3","7","1","2","24","25","11","6.4","0.4","4","8","3","1","5","1","0.02","6.8","10.8","0.256","0.036363636","36","1.5","1.2","1.041666667","0.833333333","0.283333333","0.226666667","0.166666667","0.133333333","69.44444444","62.96296296","80","7.111111111","7.555555556","4.444444444","12","0.188888889","8.888888889","9.444444444","5.555555556","15"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00018","","","","30","3","1","","","1","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00019","","","","30","30","2","3","9","1","2","24","19","5","6.4","0.16","17.2","2","3","7","1","1","0.15","6.56","23.76","0.336842105","0.032","24","1","0.8","0.791666667","0.633333333","0.273333333","0.218666667","0.716666667","0.573333333","79.16666667","27.60942761","80","7.111111111","7.288888889","19.11111111","26.4","0.273333333","8.888888889","9.111111111","23.88888889","33"
"","","UGP2013SER-PT01","","","","","","","","","UGP2013SER-PT01-00020","","","","30","30","2","2","8","1","2","24","28","22","4.4","0.84","12","8","3","5","1","1","1.76","5.24","17.24","0.157142857","0.038181818","50","2.083333333","1.666666667","1.166666667","0.933333333","0.218333333","0.174666667","0.5","0.4","56","30.39443155","80","4.888888889","5.822222222","13.33333333","19.15555556","0.1048","6.111111111","7.277777778","16.66666667","23.94444444"
