"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016KAC-AT01","","","","","","","","","UGP2016KAC-AT01-00001","","","","5","2","2","2","7","2","2","2","0","2","0","0.04","4","2","7","7","1","1","0","0.04","4.04","","0.02","2","1","0.4","0","0","0.02","0.008","2","0.8","0","0.99009901","40","0.02","0","0.266666667","26.66666667","26.93333333","0","0.666666667","66.66666667","67.33333333"
"","","UGP2016KAC-AT01","","","","","","","","","UGP2016KAC-AT01-00002","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2016KAC-AT01","","","","","","","","","UGP2016KAC-AT01-00003","","","","5","4","1","2","8","1","1","4","7","9","0.8","0.08","11","9","3","3","1","1","0","0.88","11.88","0.114285714","0.008888889","16","4","3.2","1.75","1.4","0.22","0.176","2.75","2.2","43.75","7.407407407","80","0.055","5.333333333","5.866666667","73.33333333","79.2","6.666666667","7.333333333","91.66666667","99"
"","","UGP2016KAC-AT01","","","","","","","","","UGP2016KAC-AT01-00004","","","","5","5","2","2","8","1","2","4","7","9","2","0.1","3.1","9","3","3","1","1","0","2.1","5.2","0.285714286","0.011111111","16","4","3.2","1.75","1.4","0.525","0.42","0.775","0.62","43.75","40.38461538","80","0.13125","13.33333333","14","20.66666667","34.66666667","16.66666667","17.5","25.83333333","43.33333333"
"","","UGP2016KAC-AT01","","","","","","","","","UGP2016KAC-AT01-00005","","","","5","5","3","4","8","1","2","5","3","2","1","0.05","2","3","3","3","1","1","0.12","1.05","3.05","0.333333333","0.025","5","1","1","0.6","0.6","0.21","0.21","0.4","0.4","60","34.42622951","100","0.21","6.666666667","7","13.33333333","20.33333333","6.666666667","7","13.33333333","20.33333333"
"","","UGP2016KAC-AT01","","","","","","","","","UGP2016KAC-AT01-00006","","","","5","5","2","2","7","1","1","4","4","6","0.1","0.06","3.5","3","6","4","1","1","0.12","0.16","3.66","0.025","0.01","10","2.5","2","1","0.8","0.04","0.032","0.875","0.7","40","4.371584699","80","0.016","0.666666667","1.066666667","23.33333333","24.4","0.833333333","1.333333333","29.16666667","30.5"
"","","UGP2016KAC-AT01","","","","","","","","","UGP2016KAC-AT01-00007","","","","5","5","2","1","8","1","1","4","1","5","0.06","0.1","6","5","6","6","1","1","0.12","0.16","6.16","0.06","0.02","6","1.5","1.2","0.25","0.2","0.04","0.032","1.5","1.2","16.66666667","2.597402597","80","0.026666667","0.4","1.066666667","40","41.06666667","0.5","1.333333333","50","51.33333333"
"","","UGP2016KAC-AT01","","","","","","","","","UGP2016KAC-AT01-00008","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2016KAC-AT01","","","","","","","","","UGP2016KAC-AT01-00009","","","","5","2","1","2","6","1","1","2","2","0","0.1","0","0.1","8","3","4","1","1","7.23","0.1","0.2","0.05","","2","1","0.4","1","0.4","0.05","0.02","0.05","0.02","100","50","40","0.05","0.666666667","0.666666667","0.666666667","1.333333333","1.666666667","1.666666667","1.666666667","3.333333333"
"","","UGP2016KAC-AT01","","","","","","","","","UGP2016KAC-AT01-00010","","","","5","5","1","2","7","1","2","5","7","7","1.2","0.2","2.5","9","2","3","1","2","0.12","1.4","3.9","0.171428571","0.028571429","14","2.8","2.8","1.4","1.4","0.28","0.28","0.5","0.5","50","35.8974359","100","0.1","8","9.333333333","16.66666667","26","8","9.333333333","16.66666667","26"
