"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00001","","","","30","25","0.66","75","15.97","0.61","4","155","28.94","16.58","17.24","0.212933333","3","2.5","0.6632","0.552666667","0.0264","0.022","96.17169374","83.33333333","18.67096774","3.095646452","23.65925926","28.39111111","24.56296296","29.47555556","0.977777778","1.173333333","4.586142891","5.50337147","25.54074074","30.64888889"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00002","","","","30","26","0.47","27","2.79","1.46","6","162.26","46.21","4.25","4.72","0.103333333","1.038461538","0.9","0.163461538","0.141666667","0.018076923","0.015666667","90.04237288","86.66666667","28.47898435","1.210356835","4.133333333","4.769230769","6.296296296","7.264957265","0.696296296","0.803418803","1.793121237","2.068986042","6.992592593","8.068376068"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00003","","","","30","24","0.22","24","4.38","0.7","6","159.5","41.46","5.08","5.3","0.1825","1","0.8","0.211666667","0.169333333","0.009166667","0.007333333","95.8490566","80","25.99373041","1.320481505","6.488888889","8.111111111","7.525925926","9.407407407","0.325925926","0.407407407","1.956268896","2.44533612","7.851851852","9.814814815"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00004","","","","30","27","0.5","83","11.86","2.51","3","160.56","36.29","14.37","14.87","0.142891566","3.074074074","2.766666667","0.532222222","0.479","0.018518519","0.016666667","96.63752522","90","22.6021425","3.247927877","17.57037037","19.52263374","21.28888889","23.65432099","0.740740741","0.823045267","4.811745004","5.346383337","22.02962963","24.47736626"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00005","","","","30","26","0.47","30","6.08","1.61","5","158.15","52.37","7.69","8.16","0.202666667","1.153846154","1","0.295769231","0.256333333","0.018076923","0.015666667","94.24019608","86.66666667","33.11413215","2.546476763","9.007407407","10.39316239","11.39259259","13.14529915","0.696296296","0.803418803","3.772558167","4.352951731","12.08888889","13.94871795"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00006","","","","30","26","0.8","44","9.68","0.59","3","152.81","37.99","10.27","11.07","0.22","1.692307692","1.466666667","0.395","0.342333333","0.030769231","0.026666667","92.77326107","86.66666667","24.86093842","2.553218376","14.34074074","16.54700855","15.21481481","17.55555556","1.185185185","1.367521368","3.782545742","4.364475856","16.4","18.92307692"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00007","","","","30","23","0.74","25","2.4","0.35","5","161.04","37.14","2.75","3.49","0.096","1.086956522","0.833333333","0.119565217","0.091666667","0.032173913","0.024666667","78.7965616","76.66666667","23.06259314","0.634221311","3.555555556","4.637681159","4.074074074","5.314009662","1.096296296","1.429951691","0.939587128","1.225548428","5.17037037","6.743961353"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00008","","","","30","28","0.56","57","12.74","2.43","4","154.17","48.08","15.17","15.73","0.223508772","2.035714286","1.9","0.541785714","0.505666667","0.02","0.018666667","96.43992371","93.33333333","31.18635273","4.730969709","18.87407407","20.22222222","22.47407407","24.07936508","0.82962963","0.888888889","7.008844013","7.509475728","23.3037037","24.96825397"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00009","","","","30","3","0.4","3","0.22","0.13","6","","","0.35","0.75","0.073333333","1","0.1","0.116666667","0.011666667","0.133333333","0.013333333","46.66666667","10","","","0.325925926","3.259259259","0.518518519","5.185185185","0.592592593","5.925925926","","","1.111111111","11.11111111"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00010","","","","30","29","0.46","109","16.82","2.48","3","159.8","31.13","19.3","19.76","0.154311927","3.75862069","3.633333333","0.665517241","0.643333333","0.015862069","0.015333333","97.67206478","96.66666667","19.48060075","3.759755945","24.91851852","25.77777778","28.59259259","29.57854406","0.681481481","0.704980843","5.570008807","5.762078077","29.27407407","30.2835249"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00011","","","","30","29","4.8","119","25.15","2.13","3","159.07","35.26","27.28","32.08","0.211344538","4.103448276","3.966666667","0.940689655","0.909333333","0.165517241","0.16","85.03740648","96.66666667","22.16634186","6.04697806","37.25925926","38.5440613","40.41481481","41.80842912","7.111111111","7.356321839","8.958486015","9.267399326","47.52592593","49.16475096"
"","","PEP2019CSR-PT02","","","","","","","","","PEP2019CSR-PT02-00012","","","","30","26","1.89","83","9.47","1.81","4","161.98","39.39","11.28","13.17","0.114096386","3.192307692","2.766666667","0.433846154","0.376","0.072692308","0.063","85.64920273","86.66666667","24.31781701","2.743049759","14.02962963","16.18803419","16.71111111","19.28205128","2.8","3.230769231","4.063777421","4.688973947","19.51111111","22.51282051"
