"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00011","","","","20","1.22","12","34","38","5.12","0.91","3","29.9009901","4.0365372","1.506721","1.1352339","120.8459473","91.3402557","44.9293747","63.0973053","1.4755135","3.5312161","16.0069218","0.2838364","6.03","7.25","72","0.150588235","0.023947368","0.08375","6","3.6","2.833333333","1.7","0.5025","0.3015","0.101666667","0.061","47.22222222","83.17241379","60","1.803029703","11.37777778","18.96296296","13.4","22.33333333","2.711111111","4.518518519","4.006732673","6.677887789","16.11111111","26.85185185"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00012","","","","20","4.97","13","37","28","9.08","1.32","3","31.22529644","6.1045227","1.7986174","1.238452","114.975708","91.3762817","46.5186844","61.1292839","0.7280693","2.5773149","15.5765371","0","10.4","15.37","65","0.245405405","0.047142857","0.16","5","3.25","2.846153846","1.85","0.8","0.52","0.382307692","0.2485","56.92307692","67.66428107","65","3.24743083","20.17777778","31.04273504","23.11111111","35.55555556","11.04444444","16.99145299","7.216512955","11.10232762","34.15555556","52.54700855"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00013","","","","20","0.4","11","13","19","1.41","0.71","5","26.4940239","6.7060795","2.2170715","1.5516829","146.328125","127.6424713","58.5154419","54.1027527","1.4982471","3.8618212","20.8643665","0.8804607","2.12","2.52","32","0.108461538","0.037368421","0.06625","2.909090909","1.6","1.181818182","0.65","0.192727273","0.106","0.036363636","0.02","40.625","84.12698413","55","0.561673307","3.133333333","5.696969697","4.711111111","8.565656566","0.888888889","1.616161616","1.248162904","2.269387098","5.6","10.18181818"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00014","","","","20","1.05","17","22","30","2.58","0.85","5","26.54690619","5.4832535","2.0362539","1.4101176","141.8078613","125.6907501","59.0167999","50.1944313","1.109127","3.0502563","24.1773758","0.424077","3.43","4.48","52","0.117272727","0.028333333","0.065961538","3.058823529","2.6","1.294117647","1.1","0.201764706","0.1715","0.061764706","0.0525","42.30769231","76.5625","85","0.910558882","5.733333333","6.745098039","7.622222222","8.967320261","2.333333333","2.745098039","2.023464183","2.380546098","9.955555556","11.7124183"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00015","","","","20","1.27","14","15","22","2.05","0.95","5","30.47808765","4.4564114","1.6696024","1.1589575","96.6595459","93.3374023","28.1634369","65.5242081","2.7048454","4.9266233","8.0687828","0.2965374","3","4.27","37","0.136666667","0.043181818","0.081081081","2.642857143","1.85","1.071428571","0.75","0.214285714","0.15","0.090714286","0.0635","40.54054054","70.25761124","70","0.91434263","4.555555556","6.507936508","6.666666667","9.523809524","2.822222222","4.031746032","2.03187251","2.902675014","9.488888889","13.55555556"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00016","","","","20","2.93","14","22","30","3.19","1.02","5","32.01581028","4.7017994","1.5665388","1.0964875","67.9713135","78.9768982","28.3740387","68.735466","2.2550297","4.2134304","5.9370728","0","4.21","7.14","52","0.145","0.034","0.080961538","3.714285714","2.6","1.571428571","1.1","0.300714286","0.2105","0.209285714","0.1465","42.30769231","58.96358543","70","1.347865613","7.088888889","10.12698413","9.355555556","13.36507937","6.511111111","9.301587302","2.995256917","4.278938453","15.86666667","22.66666667"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00017","","","","20","4.31","15","36","20","6.56","0.64","5","28.68525896","8.1047678","2.3447685","1.3885083","56.6479492","110.9762115","60.6446915","55.9502716","1.3727674","3.3781204","16.7789268","0.3779125","7.2","11.51","56","0.182222222","0.032","0.128571429","3.733333333","2.8","2.4","1.8","0.48","0.36","0.287333333","0.2155","64.28571429","62.55430061","75","2.065338645","14.57777778","19.43703704","16","21.33333333","9.577777778","12.77037037","4.589641434","6.119521911","25.57777778","34.1037037"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00018","","","","20","4","18","46","32","8.65","1.23","4","25.64612326","7.7037964","2.4875879","1.5094366","102.723877","134.6917725","61.3802109","52.0606384","1.6045723","3.9783607","19.4509583","0.4885988","9.88","13.88","78","0.188043478","0.0384375","0.126666667","4.333333333","3.9","2.555555556","2.3","0.548888889","0.494","0.222222222","0.2","58.97435897","71.1815562","90","2.533836978","19.22222222","21.35802469","21.95555556","24.39506173","8.888888889","9.87654321","5.63074884","6.2563876","30.84444444","34.27160494"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00019","","","","20","2.41","13","8","23","1.18","0.85","5","28.28685259","6.6567459","2.2948577","1.5552483","222.4908447","157.8718109","54.513092","49.5256081","2.5337839","5.5866756","19.9751148","0.5563898","2.03","4.44","31","0.1475","0.036956522","0.065483871","2.384615385","1.55","0.615384615","0.4","0.156153846","0.1015","0.185384615","0.1205","25.80645161","45.72072072","65","0.574223108","2.622222222","4.034188034","4.511111111","6.94017094","5.355555556","8.239316239","1.27605135","1.963155923","9.866666667","15.17948718"
"","","PEP2013MAR-AT01","","","","","","","","","PEP2013MAR-AT01-00020","","","","20","5.94","11","21","35","2.82","1.48","5","27.38095238","4.126379","1.7694488","1.1538243","137.9628906","113.6550751","55.852829","52.7930298","4.7378006","7.7938209","14.7639008","0.2921305","4.3","10.24","56","0.134285714","0.042285714","0.076785714","5.090909091","2.8","1.909090909","1.05","0.390909091","0.215","0.54","0.297","37.5","41.9921875","55","1.177380952","6.266666667","11.39393939","9.555555556","17.37373737","13.2","24","2.616402116","4.757094757","22.75555556","41.37373737"
