"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012MAR-AT01","","","","","","","","","PEP2012MAR-AT01-00001","","","","20","2.84","15","10","20","2.66","0.73","26.4","2.296558","1.046304","0.909123","67.61377","87.56201","0","60.7538","5.525475","8.295716","8.156904","0.254712","3.39","6.23","30","0.266","0.0365","0.113","2","1.5","0.666666667","0.5","0.226","0.1695","0.189333333","0.142","33.33333333","54.4141252","75","0.89496","5.911111111","7.881481481","7.533333333","10.04444444","6.311111111","8.414814815","1.9888","2.651733333","13.84444444","18.45925926"
"","","PEP2012MAR-AT01","","","","","","","","","PEP2012MAR-AT01-00002","","","","20","7.47","19","29","21","5.42","0.74","24.10358566","3.905064","1.493162","1.174353","73.56946","102.3106","0","61.41795","4.905139","7.780444","7.0123","0.268568","6.16","13.63","50","0.186896552","0.035238095","0.1232","2.631578947","2.5","1.526315789","1.45","0.324210526","0.308","0.393157895","0.3735","58","45.19442406","95","1.484780877","12.04444444","12.67836257","13.68888889","14.40935673","16.6","17.47368421","3.299513059","3.473171641","30.28888889","31.88304094"
"","","PEP2012MAR-AT01","","","","","","","","","PEP2012MAR-AT01-00003","","","","20","3.33","12","4","14","0.45","0.44","37.64478764","4.887812","1.563457","1.13205","50.32129","83.07065","","63.63633","0.636712","2.004276","13.70604","0.567223","0.89","4.22","18","0.1125","0.031428571","0.049444444","1.5","0.9","0.333333333","0.2","0.074166667","0.0445","0.2775","0.1665","22.22222222","21.09004739","60","0.33503861","1","1.666666667","1.977777778","3.296296296","7.4","12.33333333","0.744530244","1.240883741","9.377777778","15.62962963"
"","","PEP2012MAR-AT01","","","","","","","","","PEP2012MAR-AT01-00004","","","","20","1.86","9","0","0","0","0","","","","","","","","","","","","","0","1.86","0","","","","0","0","0","0","0","0","0.206666667","0.093","","0","45","","0","0","0","0","4.133333333","9.185185185","","","4.133333333","9.185185185"
"","","PEP2012MAR-AT01","","","","","","","","","PEP2012MAR-AT01-00005","","","","20","6.96","19","32","35","3.31","0.76","30.81510934","3.208633","1.39434","0.904573","59.56812","95.65671","24.32449","54.83162","4.912746","7.753401","15.37465","0.685082","4.07","11.03","67","0.1034375","0.021714286","0.060746269","3.526315789","3.35","1.684210526","1.6","0.214210526","0.2035","0.366315789","0.348","47.76119403","36.89936537","95","1.25417495","7.355555556","7.742690058","9.044444444","9.520467836","15.46666667","16.28070175","2.787055445","2.933742573","24.51111111","25.80116959"
"","","PEP2012MAR-AT01","","","","","","","","","PEP2012MAR-AT01-00006","","","","20","6.71","16","11","35","2.04","1.17","30.64833006","3.771376","1.446372","0.981392","43.23608","86.64961","28.69417","60.16566","2.974334","4.944809","12.16431","0.206356","3.21","9.92","46","0.185454545","0.033428571","0.069782609","2.875","2.3","0.6875","0.55","0.200625","0.1605","0.419375","0.3355","23.91304348","32.35887097","80","0.983811395","4.533333333","5.666666667","7.133333333","8.916666667","14.91111111","18.63888889","2.186247544","2.73280943","22.04444444","27.55555556"
"","","PEP2012MAR-AT01","","","","","","","","","PEP2012MAR-AT01-00007","","","","20","4.31","16","8","32","0.7","0.64","27.49003984","4.080978","1.704888","1.00886","131.2008","114.948","11.62376","49.52681","7.521281","11.65171","11.4571","0.726526","1.34","5.65","40","0.0875","0.02","0.0335","2.5","2","0.5","0.4","0.08375","0.067","0.269375","0.2155","20","23.71681416","80","0.368366534","1.555555556","1.944444444","2.977777778","3.722222222","9.577777778","11.97222222","0.818592297","1.023240372","12.55555556","15.69444444"
"","","PEP2012MAR-AT01","","","","","","","","","PEP2012MAR-AT01-00008","","","","20","6.59","15","16","46","1.13","0.92","24.65208748","3.784805","1.591915","1.060179","105.5414","96.72322","22.38754","58.14119","3.614777","6.11825","12.45393","0.262027","2.05","8.64","62","0.070625","0.02","0.033064516","4.133333333","3.1","1.066666667","0.8","0.136666667","0.1025","0.439333333","0.3295","25.80645161","23.72685185","75","0.505367793","2.511111111","3.348148148","4.555555556","6.074074074","14.64444444","19.52592593","1.123039541","1.497386054","19.2","25.6"
"","","PEP2012MAR-AT01","","","","","","","","","PEP2012MAR-AT01-00009","","","","20","2.02","18","8","35","1.55","1.18","30.4518664","4.840967","1.79386","1.280258","108.186","109.7646","28.09572","60.29811","2.208194","4.355739","11.6762","0.033414","2.73","4.75","43","0.19375","0.033714286","0.063488372","2.388888889","2.15","0.444444444","0.4","0.151666667","0.1365","0.112222222","0.101","18.60465116","57.47368421","90","0.831335953","3.444444444","3.827160494","6.066666667","6.740740741","4.488888889","4.987654321","1.847413228","2.052681365","10.55555556","11.72839506"
"","","PEP2012MAR-AT01","","","","","","","","","PEP2012MAR-AT01-00010","","","","20","2.45","8","10","10","1.75","0.4","30.11583012","3.109665","1.467562","1.033665","111.3065","86.99139","29.66573","59.07108","3.073257","5.208396","13.53467","0.240907","2.15","4.6","20","0.175","0.04","0.1075","2.5","1","1.25","0.5","0.26875","0.1075","0.30625","0.1225","50","46.73913043","40","0.647490348","3.888888889","9.722222222","4.777777778","11.94444444","5.444444444","13.61111111","1.438867439","3.597168598","10.22222222","25.55555556"
