"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap120"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00051","","","","120","105","76.56","328","328","75.29","10.81","48.7","11","7.96","32.35","2.32","1.45","191.35","133.25","43.41","7.25","11.71","15.63","0.88","86.1","162.66","656","0.229542683","0.032957317","0.13125","6.247619048","5.466666667","3.123809524","2.733333333","0.82","0.7175","0.729142857","0.638","50","52.93249723","87.5","22.58726899","19.4476386","27.88518519","31.86878307","31.88888889","36.44444444","28.35555556","32.40634921","7.202829112","8.2318047","60.24444444","68.85079365","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00052","","","","120","81","98.75","204","303","57.84","10.09","51","11.2","8.5","38.61","2.4","1.6","184.92","133.79","47.64","6.22","10.5","14.25","0.82","67.93","166.68","507","0.283529412","0.03330033","0.133984221","6.259259259","4.225","2.518518519","1.7","0.838641975","0.566083333","1.219135802","0.822916667","40.23668639","40.75473962","67.5","21.96078431","14.91796078","21.42222222","31.73662551","25.15925926","37.27297668","36.57407407","54.18381344","5.525170661","8.185438016","61.73333333","91.45679012","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00053","","","","120","105","103.8","20","34","5.19","1.17","51","16.5","10.14","0","2.35","1.6","26.11","107.39","62.68","1.91","3.81","11.02","0.72","6.36","110.16","54","0.2595","0.034411765","0.117777778","0.514285714","0.45","0.19047619","0.166666667","0.060571429","0.053","0.988571429","0.865","37.03703704","5.773420479","87.5","32.35294118","2.057647059","1.922222222","2.196825397","2.355555556","2.692063492","38.44444444","43.93650794","0.762091503","0.870961718","40.8","46.62857143","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00054","","","","120","111","133.94","17","50","4.08","1.96","51.9","19.3","7.53","0","1.82","1.32","19.48","81.47","66.04","0.92","2.45","10.7","0.16","6.04","139.98","67","0.24","0.0392","0.090149254","0.603603604","0.558333333","0.153153153","0.141666667","0.054414414","0.050333333","1.206666667","1.116166667","25.37313433","4.314902129","92.5","37.18689788","2.246088632","1.511111111","1.633633634","2.237037037","2.418418418","49.60740741","53.62962963","0.831884679","0.899334788","51.84444444","56.04804805","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00055","","","","120","93","133.7","160","95","61.38","5.6","51.6","17.8","6.78","0","1.57","1.31","75.57","90.74","68.01","1.15","2.5","9.1","0.09","66.98","200.68","255","0.383625","0.058947368","0.262666667","2.741935484","2.125","1.720430108","1.333333333","0.720215054","0.558166667","1.437634409","1.114166667","62.74509804","33.37651983","77.5","34.49612403","23.10550388","22.73333333","29.33333333","24.80740741","32.00955795","49.51851852","63.8948626","8.557594028","11.04205681","74.32592593","95.90442055","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00056","","","","120","87","141.08","125","102","44.86","5.55","51.6","18.5","5.61","2.21","1.39","1.29","82.29","91.86","69.57","1.3","3.27","7.37","0.07","50.41","191.49","227","0.35888","0.054411765","0.222070485","2.609195402","1.891666667","1.436781609","1.041666667","0.579425287","0.420083333","1.621609195","1.175666667","55.0660793","26.32513447","72.5","35.85271318","18.07335271","16.61481481","22.91698595","18.67037037","25.75223499","52.25185185","72.0715198","6.693834338","9.232874949","70.92222222","97.82375479","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00057","","","","120","98","140.86","63","113","12.57","4.42","50.2","12.2","6.71","","2","1.4","172.06","126.84","52.65","4.74","8.36","16.25","0.81","16.99","157.85","176","0.19952381","0.039115044","0.096534091","1.795918367","1.466666667","0.642857143","0.525","0.173367347","0.141583333","1.437346939","1.173833333","35.79545455","10.76338296","81.66666667","24.30278884","4.129043825","4.655555556","5.700680272","6.292592593","7.70521542","52.17037037","63.88208617","1.529275491","1.872582233","58.46296296","71.58730159","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00058","","","","120","111","134.5","48","68","8.86","1.97","50.6","12.2","4.2","","1.51","0.95","136.81","92.6","51.47","8.03","12.28","10.73","0.76","10.83","145.33","116","0.184583333","0.028970588","0.093362069","1.045045045","0.966666667","0.432432432","0.4","0.097567568","0.09025","1.211711712","1.120833333","41.37931034","7.45200578","92.5","24.11067194","2.611185771","3.281481481","3.547547548","4.011111111","4.336336336","49.81481481","53.85385385","0.967105841","1.045519828","53.82592593","58.19019019","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00059","","","","120","104","102.56","281","182","90.69","8.73","50.3","15.8","5.35","0","1.51","1.27","78","89.41","71.49","0.32","2.23","7.97","0","99.42","201.98","463","0.322740214","0.047967033","0.214730022","4.451923077","3.858333333","2.701923077","2.341666667","0.955961538","0.8285","0.986153846","0.854666667","60.69114471","49.22269532","86.66666667","31.41153082","31.22934394","33.58888889","38.75641026","36.82222222","42.48717949","37.98518519","43.82905983","11.56642368","13.34587348","74.80740741","86.31623932","1"
"","","PEP2018CSR-ST02","","","","","","","","","PEP2018CSR-ST02-00060","","","","120","113","124.82","220","218","77.68","13.34","50","15.1","5.2","0","1.54","1.18","72.27","89.85","68.87","1.36","3.33","7.2","0.02","91.02","215.84","438","0.353090909","0.061192661","0.207808219","3.876106195","3.65","1.946902655","1.833333333","0.805486726","0.7585","1.10460177","1.040166667","50.2283105","42.17012602","94.16666667","30.2","27.48804","28.77037037","30.5526057","33.71111111","35.79941003","46.22962963","49.093412","10.18075556","10.81142183","79.94074074","84.89282203","1"
