"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap100","treatment_dap120"
"","","PEP2013HUA-AT02","","","","","","","","","PEP2013HUA-AT02-00001","","","","10","7","5","4","0.7","0.2","1.58","29.14612895","0.9","2.48","9","0.14","0.05","0.1","1.285714286","0.9","0.714285714","0.5","0.128571429","0.09","0.225714286","0.158","55.55555556","36.29032258","70","0.262315161","3.111111111","4.444444444","4","5.714285714","7.022222222","10.03174603","1.165845158","1.665493083","11.02222222","15.74603175","1",""
"","","PEP2013HUA-AT02","","","","","","","","","PEP2013HUA-AT02-00002","","","","10","4","2","10","0.3","0.36","0.93","23.784907","0.66","1.59","12","0.15","0.036","0.055","3","1.2","0.5","0.2","0.165","0.066","0.2325","0.093","16.66666667","41.50943396","40","0.156980386","1.333333333","3.333333333","2.933333333","7.333333333","4.133333333","10.33333333","0.697690605","1.744226513","7.066666667","17.66666667","1",""
"","","PEP2013HUA-AT02","","","","","","","","","PEP2013HUA-AT02-00003","","","","10","5","5","13","0.98","0.4","0.99","28.25295496","1.38","2.37","18","0.196","0.030769231","0.076666667","3.6","1.8","1","0.5","0.276","0.138","0.198","0.099","27.77777778","58.2278481","50","0.389890778","4.355555556","8.711111111","6.133333333","12.26666667","4.4","8.8","1.732847904","3.465695808","10.53333333","21.06666667","","1"
"","","PEP2013HUA-AT02","","","","","","","","","PEP2013HUA-AT02-00004","","","","10","4","14","3","2.61","0.13","5.02","26.98896269","2.74","7.76","17","0.186428571","0.043333333","0.161176471","4.25","1.7","3.5","1.4","0.685","0.274","1.255","0.502","82.35294118","35.30927835","40","0.739497578","11.6","29","12.17777778","30.44444444","22.31111111","55.77777778","3.286655901","8.216639752","34.48888889","86.22222222","","1"
"","","PEP2013HUA-AT02","","","","","","","","","PEP2013HUA-AT02-00005","","","","10","9","13","28","2.02","0.86","2.25","20.17578707","2.88","5.13","41","0.155384615","0.030714286","0.070243902","4.555555556","4.1","1.444444444","1.3","0.32","0.288","0.25","0.225","31.70731707","56.14035088","90","0.581062668","8.977777778","9.975308642","12.8","14.22222222","10","11.11111111","2.582500745","2.869445272","22.8","25.33333333","1",""
"","","PEP2013HUA-AT02","","","","","","","","","PEP2013HUA-AT02-00006","","","","10","6","14","17","2.13","0.68","2.62","17.19210592","2.81","5.43","31","0.152142857","0.04","0.090645161","5.166666667","3.1","2.333333333","1.4","0.468333333","0.281","0.436666667","0.262","45.16129032","51.74953959","60","0.483098176","9.466666667","15.77777778","12.48888889","20.81481481","11.64444444","19.40740741","2.147103006","3.57850501","24.13333333","40.22222222","1",""
"","","PEP2013HUA-AT02","","","","","","","","","PEP2013HUA-AT02-00007","","","","10","7","22","17","3.92","0.47","1.98","23.71154515","4.39","6.37","39","0.178181818","0.027647059","0.112564103","5.571428571","3.9","3.142857143","2.2","0.627142857","0.439","0.282857143","0.198","56.41025641","68.91679749","70","1.040936832","17.42222222","24.88888889","19.51111111","27.87301587","8.8","12.57142857","4.62638592","6.609122743","28.31111111","40.44444444","","1"
"","","PEP2013HUA-AT02","","","","","","","","","PEP2013HUA-AT02-00008","","","","10","5","22","15","5.75","0.47","4.27","20.30955452","6.22","10.49","37","0.261363636","0.031333333","0.168108108","7.4","3.7","4.4","2.2","1.244","0.622","0.854","0.427","59.45945946","59.29456625","50","1.263254291","25.55555556","51.11111111","27.64444444","55.28888889","18.97777778","37.95555556","5.614463516","11.22892703","46.62222222","93.24444444","","1"
"","","PEP2013HUA-AT02","","","","","","","","","PEP2013HUA-AT02-00009","","","","10","7","20","22","3.84","1.32","3.86","16.04895279","5.16","9.02","42","0.192","0.06","0.122857143","6","4.2","2.857142857","2","0.737142857","0.516","0.551428571","0.386","47.61904762","57.20620843","70","0.828125964","17.06666667","24.38095238","22.93333333","32.76190476","17.15555556","24.50793651","3.68055984","5.257942628","40.08888889","57.26984127","1",""
"","","PEP2013HUA-AT02","","","","","","","","","PEP2013HUA-AT02-00010","","","","10","8","22","8","4.22","0.72","4.99","17.8304612","4.94","9.93","30","0.191818182","0.09","0.164666667","3.75","3","2.75","2.2","0.6175","0.494","0.62375","0.499","73.33333333","49.74823766","80","0.880824783","18.75555556","23.44444444","21.95555556","27.44444444","22.17777778","27.72222222","3.914776815","4.893471018","44.13333333","55.16666667","1",""
