"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00012","","","","30","48.32","25","52","82","13.51","3.43","16.94","65.26","134","0.259807692","0.041829268","0.12641791","5.36","4.466666667","2.08","1.733333333","0.6776","0.564666667","1.9328","1.610666667","38.80597015","25.95770763","83.33333333","20.01481481","24.01777778","25.0962963","30.11555556","71.58518519","85.90222222","96.68148148","116.0177778"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00013","","","","30","26.05","24","61","100","10.98","4.08","15.06","41.11","161","0.18","0.0408","0.093540373","6.708333333","5.366666667","2.541666667","2.033333333","0.6275","0.502","1.085416667","0.868333333","37.88819876","36.63342252","80","16.26666667","20.33333333","22.31111111","27.88888889","38.59259259","48.24074074","60.9037037","76.12962963"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00014","","","","30","32.7","21","36","51","7.4","2.62","10.02","42.72","87","0.205555556","0.051372549","0.115172414","4.142857143","2.9","1.714285714","1.2","0.477142857","0.334","1.557142857","1.09","41.37931034","23.45505618","70","10.96296296","15.66137566","14.84444444","21.20634921","48.44444444","69.20634921","63.28888889","90.41269841"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00015","","","","30","34.63","27","35","58","6.63","2.96","9.59","44.22","93","0.189428571","0.051034483","0.10311828","3.444444444","3.1","1.296296296","1.166666667","0.355185185","0.319666667","1.282592593","1.154333333","37.6344086","21.68701945","90","9.822222222","10.91358025","14.20740741","15.78600823","51.3037037","57.00411523","65.51111111","72.79012346"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00016","","","","30","28.4","24","32","61","4.95","1.83","6.78","35.18","93","0.1546875","0.03","0.072903226","3.875","3.1","1.333333333","1.066666667","0.2825","0.226","1.183333333","0.946666667","34.40860215","19.27231381","80","7.333333333","9.166666667","10.04444444","12.55555556","42.07407407","52.59259259","52.11851852","65.14814815"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00017","","","","30","43.95","29","55","30","5.44","2.49","7.93","51.88","85","0.098909091","0.083","0.093294118","2.931034483","2.833333333","1.896551724","1.833333333","0.273448276","0.264333333","1.515517241","1.465","64.70588235","15.28527371","96.66666667","8.059259259","8.337164751","11.74814815","12.1532567","65.11111111","67.35632184","76.85925926","79.50957854"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00018","","","","30","37.33","25","31","51","7.44","2.45","9.89","47.22","82","0.24","0.048039216","0.120609756","3.28","2.733333333","1.24","1.033333333","0.3956","0.329666667","1.4932","1.244333333","37.80487805","20.94451504","83.33333333","11.02222222","13.22666667","14.65185185","17.58222222","55.3037037","66.36444444","69.95555556","83.94666667"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00019","","","","30","27.55","28","76","118","15.75","9.15","24.9","52.45","194","0.207236842","0.077542373","0.128350515","6.928571429","6.466666667","2.714285714","2.533333333","0.889285714","0.83","0.983928571","0.918333333","39.17525773","47.47378456","93.33333333","23.33333333","25","36.88888889","39.52380952","40.81481481","43.73015873","77.7037037","83.25396825"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00020","","","","30","20.03","28","78","265","12.3","10.3","22.6","42.63","343","0.157692308","0.038867925","0.065889213","12.25","11.43333333","2.785714286","2.6","0.807142857","0.753333333","0.715357143","0.667666667","22.74052478","53.01430917","93.33333333","18.22222222","19.52380952","33.48148148","35.87301587","29.67407407","31.79365079","63.15555556","67.66666667"
"","","PEP2012POC-AT02","","","","","","","","","PEP2012POC-AT02-00021","","","","30","20.16","30","65","218","8.5","7.62","16.12","36.28","283","0.130769231","0.034954128","0.056961131","9.433333333","9.433333333","2.166666667","2.166666667","0.537333333","0.537333333","0.672","0.672","22.96819788","44.43219405","100","12.59259259","12.59259259","23.88148148","23.88148148","29.86666667","29.86666667","53.74814815","53.74814815"
