"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00001","","","","30","7","1.01","7","1.25","0.06","7","","","1.31","2.32","0.178571429","1","0.233333333","0.187142857","0.043666667","0.144285714","0.033666667","56.46551724","23.33333333","","","1.851851852","7.936507937","1.940740741","8.317460317","1.496296296","6.412698413","","","3.437037037","14.73015873"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00002","","","","30","14","8.57","14","2.44","0.69","5","156.41","36.41","3.13","11.7","0.174285714","1","0.466666667","0.223571429","0.104333333","0.612142857","0.285666667","26.75213675","46.66666667","23.27856275","0.728619014","3.614814815","7.746031746","4.637037037","9.936507937","12.6962963","27.20634921","1.079435576","2.313076235","17.33333333","37.14285714"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00003","","","","30","9","4.6","13","2.1","0.77","5","153.63","27.61","2.87","7.47","0.161538462","1.444444444","0.433333333","0.318888889","0.095666667","0.511111111","0.153333333","38.42034806","30","17.97175031","0.515789234","3.111111111","10.37037037","4.251851852","14.17283951","6.814814815","22.71604938","0.764132198","2.547107328","11.06666667","36.88888889"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00004","","","","30","9","3.53","2","0.23","0.26","6","","","0.49","4.02","0.115","0.222222222","0.066666667","0.054444444","0.016333333","0.392222222","0.117666667","12.18905473","30","","","0.340740741","1.135802469","0.725925926","2.419753086","5.22962963","17.43209877","","","5.955555556","19.85185185"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00005","","","","30","10","3.39","9","1.15","0.44","5","153.36","36.31","1.59","4.98","0.127777778","0.9","0.3","0.159","0.053","0.339","0.113","31.92771084","33.33333333","23.67631716","0.376453443","1.703703704","5.111111111","2.355555556","7.066666667","5.022222222","15.06666667","0.557708804","1.673126413","7.377777778","22.13333333"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00006","","","","30","11","8.37","9","1.9","0.3","5","153.69","33.19","2.2","10.57","0.211111111","0.818181818","0.3","0.2","0.073333333","0.760909091","0.279","20.81362346","36.66666667","21.59541935","0.475099226","2.814814815","7.676767677","3.259259259","8.888888889","12.4","33.81818182","0.703850705","1.919592831","15.65925926","42.70707071"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00007","","","","30","11","5.81","15","3.15","0.69","5","153.82","39.94","3.84","9.65","0.21","1.363636364","0.5","0.349090909","0.128","0.528181818","0.193666667","39.79274611","36.66666667","25.96541412","0.997071902","4.666666667","12.72727273","5.688888889","15.51515152","8.607407407","23.47474747","1.477143559","4.028573342","14.2962963","38.98989899"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00008","","","","30","21","10.43","18","3.43","0.83","5","153","40","4.26","14.69","0.190555556","0.857142857","0.6","0.202857143","0.142","0.496666667","0.347666667","28.99931926","70","26.14379085","1.11372549","5.081481481","7.259259259","6.311111111","9.015873016","15.45185185","22.07407407","1.649963689","2.357090985","21.76296296","31.08994709"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00009","","","","30","16","6.77","8","1.16","1.1","6","153.04","39.06","2.26","9.03","0.145","0.5","0.266666667","0.14125","0.075333333","0.423125","0.225666667","25.02768549","53.33333333","25.52273915","0.576813905","1.718518519","3.222222222","3.348148148","6.277777778","10.02962963","18.80555556","0.854539118","1.602260847","13.37777778","25.08333333"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00010","","","","30","4","0.87","4","0.62","0.19","6","152.63","38.05","0.81","1.68","0.155","1","0.133333333","0.2025","0.027","0.2175","0.029","48.21428571","13.33333333","24.92956824","0.201929503","0.918518519","6.888888889","1.2","9","1.288888889","9.666666667","0.299154819","2.243661141","2.488888889","18.66666667"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00011","","","","30","5","2.88","1","0.31","0.29","7","124.28","36.68","0.6","3.48","0.31","0.2","0.033333333","0.12","0.02","0.576","0.096","17.24137931","16.66666667","29.51400064","0.177084004","0.459259259","2.755555556","0.888888889","5.333333333","4.266666667","25.6","0.262346672","1.574080034","5.155555556","30.93333333"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00012","","","","30","18","6.45","14","2.28","1.39","5","159.1","35.22","3.67","10.12","0.162857143","0.777777778","0.466666667","0.203888889","0.122333333","0.358333333","0.215","36.26482213","60","22.13702074","0.812428661","3.377777778","5.62962963","5.437037037","9.061728395","9.555555556","15.92592593","1.203598017","2.005996694","14.99259259","24.98765432"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00013","","","","30","6","0.52","0","0","0.21","7","70.68","14.4","0.21","0.73","","0","0","0.035","0.007","0.086666667","0.017333333","28.76712329","20","20.37351443","0.04278438","0","0","0.311111111","1.555555556","0.77037037","3.851851852","0.063384267","0.316921336","1.081481481","5.407407407"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00014","","","","30","25","11.82","19","2.15","1.11","5","155.56","44.2","3.26","15.08","0.113157895","0.76","0.633333333","0.1304","0.108666667","0.4728","0.394","21.61803714","83.33333333","28.4134739","0.926279249","3.185185185","3.822222222","4.82962963","5.795555556","17.51111111","21.01333333","1.372265554","1.646718665","22.34074074","26.80888889"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00015","","","","30","12","5.47","22","4.74","0.83","7","154.64","33.37","5.57","11.04","0.215454545","1.833333333","0.733333333","0.464166667","0.185666667","0.455833333","0.182333333","50.45289855","40","21.57915158","1.201958743","7.022222222","17.55555556","8.251851852","20.62962963","8.103703704","20.25925926","1.780679619","4.451699048","16.35555556","40.88888889"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00016","","","","30","0","0","0","0","0","","","","0","0","","","0","","0","","0","","0","","","0","","0","","0","","","","0",""
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00017","","","","30","20","6.52","13","2.79","1.36","4","159.76","41.14","4.15","10.67","0.214615385","0.65","0.433333333","0.2075","0.138333333","0.326","0.217333333","38.8940956","66.66666667","25.75112669","1.068671758","4.133333333","6.2","6.148148148","9.222222222","9.659259259","14.48888889","1.583217419","2.374826128","15.80740741","23.71111111"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00018","","","","30","17","7","24","5.79","1.1","4","160.95","44.68","6.89","13.89","0.24125","1.411764706","0.8","0.405294118","0.229666667","0.411764706","0.233333333","49.60403168","56.66666667","27.76017397","1.912675986","8.577777778","15.1372549","10.20740741","18.0130719","10.37037037","18.30065359","2.833594054","5.000460095","20.57777778","36.31372549"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00019","","","","30","18","6.28","24","3.13","2.79","6","159.12","31.78","5.92","12.2","0.130416667","1.333333333","0.8","0.328888889","0.197333333","0.348888889","0.209333333","48.52459016","60","19.97234791","1.182362996","4.637037037","7.728395062","8.77037037","14.61728395","9.303703704","15.50617284","1.751648884","2.919414806","18.07407407","30.12345679"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00020","","","","30","4","1.69","3","1.17","0.24","5","160.62","40.82","1.41","3.1","0.39","0.75","0.1","0.3525","0.047","0.4225","0.056333333","45.48387097","13.33333333","25.41402067","0.358337691","1.733333333","13","2.088888889","15.66666667","2.503703704","18.77777778","0.530870654","3.981529905","4.592592593","34.44444444"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00021","","","","30","20","6.4","16","2.46","2.16","5","152.79","32.76","4.62","11.02","0.15375","0.8","0.533333333","0.231","0.154","0.32","0.213333333","41.92377495","66.66666667","21.4411938","0.990583153","3.644444444","5.466666667","6.844444444","10.26666667","9.481481481","14.22222222","1.467530598","2.201295896","16.32592593","24.48888889"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00022","","","","30","10","1.35","2","0.21","0.25","6","142.91","32.49","0.46","1.81","0.105","0.2","0.066666667","0.046","0.015333333","0.135","0.045","25.41436464","33.33333333","22.7345882","0.104579106","0.311111111","0.933333333","0.681481481","2.044444444","2","6","0.154932008","0.464796025","2.681481481","8.044444444"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00023","","","","30","6","3.02","1","0.21","0.19","5","141.36","31.94","0.4","3.42","0.21","0.166666667","0.033333333","0.066666667","0.013333333","0.503333333","0.100666667","11.69590643","20","22.59479344","0.090379174","0.311111111","1.555555556","0.592592593","2.962962963","4.474074074","22.37037037","0.133895072","0.669475361","5.066666667","25.33333333"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00024","","","","30","17","5.35","2","0.22","0.88","6","151.33","31.45","1.1","6.45","0.11","0.117647059","0.066666667","0.064705882","0.036666667","0.314705882","0.178333333","17.05426357","56.66666667","20.78239609","0.228606357","0.325925926","0.575163399","1.62962963","2.875816993","7.925925926","13.9869281","0.338676084","0.597663678","9.555555556","16.8627451"
"","","PEP2019SAT-PT03","","","","","","","","","PEP2019SAT-PT03-00025","","","","30","15","9.75","27","5.15","1.47","5","154.82","35.42","6.62","16.37","0.190740741","1.8","0.9","0.441333333","0.220666667","0.65","0.325","40.43982896","50","22.87818111","1.51453559","7.62962963","15.25925926","9.807407407","19.61481481","14.44444444","28.88888889","2.243756429","4.487512858","24.25185185","48.5037037"
