"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2011BEU-AT01","","","","","","","","","PEP2011BEU-AT01-00001","","","","20","14","5.8","23","34","2.8","1.1","3","22.92490119","4.6645465","0","1.6155981","1.0917212","93.3660126","81.2293167","60.4223061","5.4170475","7.9667096","9.0113153","0.3401628","3.9","9.7","57","0.12173913","0.032352941","0.068421053","4.071428571","2.85","1.642857143","1.15","0.278571429","0.195","0.414285714","0.29","40.35087719","40.20618557","70","0.894071146","6.222222222","8.888888889","8.666666667","12.38095238","12.88888889","18.41269841","1.98682477","2.8383211","21.55555556","30.79365079"
"","","PEP2011BEU-AT01","","","","","","","","","PEP2011BEU-AT01-00002","","","","20","16","2.5","20","13","2.3","0.4","3","24.3083004","3.4109921","0","1.2159431","0.8344796","91.8263931","62.3762703","64.4818115","6.7243705","9.4115601","2.6182115","0.2694752","2.7","5.2","33","0.115","0.030769231","0.081818182","2.0625","1.65","1.25","1","0.16875","0.135","0.15625","0.125","60.60606061","51.92307692","80","0.656324111","5.111111111","6.388888889","6","7.5","5.555555556","6.944444444","1.458498024","1.82312253","11.55555556","14.44444444"
"","","PEP2011BEU-AT01","","","","","","","","","PEP2011BEU-AT01-00003","","","","20","10","3","3","14","0.6","0.3","5","36.72654691","8.5689058","0","2.0281897","1.2809302","58.5420151","91.8673553","67.8759003","0.6562877","1.4802517","7.0702243","0","0.9","3.9","17","0.2","0.021428571","0.052941176","1.7","0.85","0.3","0.15","0.09","0.045","0.3","0.15","17.64705882","23.07692308","50","0.330538922","1.333333333","2.666666667","2","4","6.666666667","13.33333333","0.734530938","1.469061876","8.666666667","17.33333333"
"","","PEP2011BEU-AT01","","","","","","","","","PEP2011BEU-AT01-00004","","","","20","14","2.5","1","0","0.4","0","7","35.25896414","8.8781481","4.7178683","2.1858087","1.4231724","21.9386787","79.2824478","67.6372375","0.2321749","0.9323001","6.4164658","0","0.4","2.9","1","0.4","","0.4","0.071428571","0.05","0.071428571","0.05","0.028571429","0.02","0.178571429","0.125","100","13.79310345","70","0.141035857","0.888888889","1.26984127","0.888888889","1.26984127","5.555555556","7.936507937","0.313413015","0.447732878","6.444444444","9.206349206"
"","","PEP2011BEU-AT01","","","","","","","","","PEP2011BEU-AT01-00005","","","","20","15","12","12","9","1.8","0.2","3","30.19607843","3.0974035","17.4926567","1.4741268","0.9010631","131.7028503","87.521965","63.6273689","3.6439991","5.7036948","8.5756674","0.5014133","2","14","21","0.15","0.022222222","0.095238095","1.4","1.05","0.8","0.6","0.133333333","0.1","0.8","0.6","57.14285714","14.28571429","75","0.603921569","4","5.333333333","4.444444444","5.925925926","26.66666667","35.55555556","1.34204793","1.78939724","31.11111111","41.48148148"
"","","PEP2011BEU-AT01","","","","","","","","","PEP2011BEU-AT01-00006","","","","20","18","16","30","23","5.8","1","1","29.5049505","3.3507075","13.9256763","1.449687","0.8426799","149.7890472","107.7770309","59.026207","4.8522019","7.5640135","11.5493069","0.5091179","6.8","22.8","53","0.193333333","0.043478261","0.128301887","2.944444444","2.65","1.666666667","1.5","0.377777778","0.34","0.888888889","0.8","56.60377358","29.8245614","90","2.006336634","12.88888889","14.32098765","15.11111111","16.79012346","35.55555556","39.50617284","4.458525853","4.953917615","50.66666667","56.2962963"
"","","PEP2011BEU-AT01","","","","","","","","","PEP2011BEU-AT01-00007","","","","20","14","4.4","6","25","1.1","0.5","5","26.8627451","3.8536503","13.6691542","1.7903626","1.0358602","191.1447144","113.008049","57.1870651","5.72857","8.7175531","8.0023403","0.8147985","1.6","6","31","0.183333333","0.02","0.051612903","2.214285714","1.55","0.428571429","0.3","0.114285714","0.08","0.314285714","0.22","19.35483871","26.66666667","70","0.429803922","2.444444444","3.492063492","3.555555556","5.079365079","9.777777778","13.96825397","0.955119826","1.364456894","13.33333333","19.04761905"
"","","PEP2011BEU-AT01","","","","","","","","","PEP2011BEU-AT01-00008","","","","20","10","4.5","3","21","0.8","0.3","7","26.98412698","4.0681129","7.8643847","1.8529136","1.1067761","242.1578674","130.4720306","55.7213287","5.0190382","7.7073331","9.5936489","0.7793633","1.1","5.6","24","0.266666667","0.014285714","0.045833333","2.4","1.2","0.3","0.15","0.11","0.055","0.45","0.225","12.5","19.64285714","50","0.296825397","1.777777778","3.555555556","2.444444444","4.888888889","10","20","0.659611993","1.319223986","12.44444444","24.88888889"
"","","PEP2011BEU-AT01","","","","","","","","","PEP2011BEU-AT01-00009","","","","20","15","4","23","36","5.7","1","1","33.99602386","3.6253543","21.5578346","1.4324714","0.8827029","132.2353821","81.5664062","62.4269867","3.3799267","4.9730301","8.3072462","0.4117909","6.7","10.7","59","0.247826087","0.027777778","0.113559322","3.933333333","2.95","1.533333333","1.15","0.446666667","0.335","0.266666667","0.2","38.98305085","62.61682243","75","2.277733599","12.66666667","16.88888889","14.88888889","19.85185185","8.888888889","11.85185185","5.061630219","6.748840292","23.77777778","31.7037037"
"","","PEP2011BEU-AT01","","","","","","","","","PEP2011BEU-AT01-00010","","","","20","12","3","14","9","3.6","0.5","3","28.82703777","3.5472655","19.5368023","1.4969568","0.9162983","104.5932159","72.6505508","61.061348","4.2084928","6.1537871","8.9858189","0.4629048","4.1","7.1","23","0.257142857","0.055555556","0.17826087","1.916666667","1.15","1.166666667","0.7","0.341666667","0.205","0.25","0.15","60.86956522","57.74647887","60","1.181908549","8","13.33333333","9.111111111","15.18518519","6.666666667","11.11111111","2.626463441","4.377439069","15.77777778","26.2962963"
