"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap90"
"","","PEP2018SAT-ST01","","","","","","","","","PEP2018SAT-ST01-00001","","","","120","92","8.61","42","208","4.64","3.82","50.2","14.9","3.37","11","1.33","1","211.35","110.39","68.74","2.32","4.45","9.23","0.24","8.46","17.07","250","0.11047619","0.018365385","0.03384","2.717391304","2.083333333","0.456521739","0.35","0.091956522","0.0705","0.093586957","0.07175","16.8","49.56063269","76.66666667","29.6812749","2.511035857","1.718518519","2.241545894","3.133333333","4.086956522","3.188888889","4.15942029","0.93001328","1.2130608","6.322222222","8.246376812","1"
"","","PEP2018SAT-ST01","","","","","","","","","PEP2018SAT-ST01-00002","","","","120","95","15.34","57","228","6.21","5.6","50.9","14.8","3.79","17.25","1.41","1.06","196.34","104.28","66.03","2.92","5.27","9.65","0.28","11.81","27.15","285","0.108947368","0.024561404","0.041438596","3","2.375","0.6","0.475","0.124315789","0.098416667","0.161473684","0.127833333","20","43.49907919","79.16666667","29.07662083","3.433948919","2.3","2.905263158","4.374074074","5.525146199","5.681481481","7.176608187","1.271832933","1.60652581","10.05555556","12.70175439","1"
"","","PEP2018SAT-ST01","","","","","","","","","PEP2018SAT-ST01-00003","","","","120","86","86.51","34","252","4.36","6.03","50.5","17.4","5.1","0","1.28","1.11","95.77","84.21","68.4","1.71","3.83","7.83","0.12","10.39","96.9","286","0.128235294","0.023928571","0.036328671","3.325581395","2.383333333","0.395348837","0.283333333","0.120813953","0.086583333","1.005930233","0.720916667","11.88811189","10.72239422","71.66666667","34.45544554","3.579920792","1.614814815","2.253229974","3.848148148","5.369509044","32.04074074","44.70801034","1.32589659","1.850088265","35.88888889","50.07751938","1"
"","","PEP2018SAT-ST01","","","","","","","","","PEP2018SAT-ST01-00004","","","","120","80","50.47","58","171","8.12","5.54","50.4","17.8","3.22","0","0.96","0.97","92.49","73.34","72.8","1.86","3.74","5.22","0.19","13.66","64.13","229","0.14","0.032397661","0.059650655","2.8625","1.908333333","0.725","0.483333333","0.17075","0.113833333","0.630875","0.420583333","25.32751092","21.30048339","66.66666667","35.31746032","4.824365079","3.007407407","4.511111111","5.059259259","7.588888889","18.69259259","28.03888889","1.786801881","2.680202822","23.75185185","35.62777778","1"
"","","PEP2018SAT-ST01","","","","","","","","","PEP2018SAT-ST01-00005","","","","120","100","42.09","77","167","11.36","3.91","50.3","15.8","3.48","0","1.3","1.03","116.8","97.59","71.13","2.11","4.23","6.83","0.45","15.27","57.36","244","0.147532468","0.023413174","0.062581967","2.44","2.033333333","0.77","0.641666667","0.1527","0.12725","0.4209","0.35075","31.55737705","26.62133891","83.33333333","31.41153082","4.796540755","4.207407407","5.048888889","5.655555556","6.786666667","15.58888889","18.70666667","1.776496576","2.131795891","21.24444444","25.49333333","1"
"","","PEP2018SAT-ST01","","","","","","","","","PEP2018SAT-ST01-00006","","","","120","90","56.68","108","168","21.27","5.06","50.4","17.3","4.32","0","1.32","1.1","63.17","86.39","72.85","1.31","3.08","6.6","0.43","26.33","83.01","276","0.196944444","0.030119048","0.095398551","3.066666667","2.3","1.2","0.9","0.292555556","0.219416667","0.629777778","0.472333333","39.13043478","31.71906999","75","34.32539683","9.037876984","7.877777778","10.5037037","9.751851852","13.00246914","20.99259259","27.99012346","3.347361846","4.463149128","30.74444444","40.99259259","1"
"","","PEP2018SAT-ST01","","","","","","","","","PEP2018SAT-ST01-00007","","","","120","113","64.9","165","237","28.62","7.23","50.8","11.1","6.99","34.59","2.26","1.41","144.24","122.63","58.36","3.44","5.87","13.41","0.49","35.85","100.75","402","0.173454545","0.030506329","0.089179104","3.557522124","3.35","1.460176991","1.375","0.317256637","0.29875","0.574336283","0.540833333","41.04477612","35.58312655","94.16666667","21.8503937","7.833366142","10.6","11.25663717","13.27777778","14.10029499","24.03703704","25.52605703","2.901246719","3.080969967","37.31481481","39.62635202","1"
"","","PEP2018SAT-ST01","","","","","","","","","PEP2018SAT-ST01-00008","","","","120","112","53.62","152","241","23.42","7.66","50.7","11.5","5.85","34.69","1.92","1.3","128.43","112.03","59.29","4.19","6.98","12.28","0.37","31.08","84.7","393","0.154078947","0.031784232","0.079083969","3.508928571","3.275","1.357142857","1.266666667","0.2775","0.259","0.47875","0.446833333","38.67684478","36.69421488","93.33333333","22.68244576","7.049704142","8.674074074","9.293650794","11.51111111","12.33333333","19.85925926","21.27777778","2.611001534","2.797501644","31.37037037","33.61111111","1"
"","","PEP2018SAT-ST01","","","","","","","","","PEP2018SAT-ST01-00009","","","","120","95","44.31","70","159","11.46","4.22","50.6","16.8","3.08","3.87","1.04","0.93","73.87","75.7","76.1","1.63","3.38","4.3","0.31","15.68","59.99","229","0.163714286","0.026540881","0.068471616","2.410526316","1.908333333","0.736842105","0.583333333","0.165052632","0.130666667","0.466421053","0.36925","30.56768559","26.13768961","79.16666667","33.20158103","5.206007905","4.244444444","5.361403509","5.807407407","7.335672515","16.41111111","20.72982456","1.928151076","2.435559254","22.21851852","28.06549708","1"
"","","PEP2018SAT-ST01","","","","","","","","","PEP2018SAT-ST01-00010","","","","120","92","38.87","71","134","11.19","4.2","50.3","17.3","3.33","5.9","1.11","0.91","44.36","73.36","76.44","1.23","2.8","4.82","0.26","15.39","54.26","205","0.157605634","0.031343284","0.075073171","2.22826087","1.708333333","0.77173913","0.591666667","0.167282609","0.12825","0.4225","0.323916667","34.63414634","28.36343531","76.66666667","34.39363817","5.293180915","4.144444444","5.405797101","5.7","7.434782609","14.3962963","18.77777778","1.960437376","2.557092229","20.0962963","26.21256039","1"
